volume,nr_RG,nr_suffix,header_no_tags,regest_no_tags,id_RG_all
2,2229,1,,ecclesia beatus Marie domus frater minor Misnensis diocesis: indulgentia 29 december 1401 L 100 114v.,10202229-1
2,2322,0,Grevenhayn,,10202322-0
2,2322,1,,parochialis ecclesia sancti Nicolai prope monasterium Cist. ordo Nuemburgensis diocesis: indulgentia ad instar ecclesia beatus Marie Hamburg. Bremensis diocesis 15 september 1395 L 36 198.,10202322-1
2,2411,0,Wilhelmus marchio Misnensis,,10202411-0
2,2411,1,,licentia visitare omnia monasterium monialis in dominio eius et in ecclesia curie Retznitz ordo sancte Clare Bambergensis diocesis 28 augustus 1393 L 30 327v.,10202411-1
2,2411,2,,concessio ius patronatus 4 canonicatus et prebenda maior in ecclesia Misnensis in castro Misnensis 12 december 1399 L 82 176.,10202411-2
2,2411,3,,dispensatio super carnis esu pro abbatibus monasterium Antiquecelle et monasterium Buech Cist. ordo Misnensis diocesis 26 februarius 1400 L 80 88v.,10202411-3
2,2411,4,,licentia fundandi collegium cum decan. et canonicatus apud capellam sanctus Crucis in loco de Dresden Misnensis diocesis et concedere dictus collegio parochialis ecclesia beatus Marie dictus loci ad ecclesia Misnensis pertinere marchio donavit ecclesia Misnensis ius patronatus parochialis ecclesia in Ebirspach et sanctus Nicolai in Friberg dictus diocesis 1 december 1400 L 90 100.,10202411-4
2,2411,5,,mandatum confirmatio permutatio factus inter ipsum et Mechtildem abbam monasterium Throni sanctus Marie in Nymptzschin Merseburgensis diocesis de iure patronatus parochialis ecclesia in Turgaw dictus diocesis et de parochialis ecclesia in Novacuria dictus diocesis 1 december 1400 L 90 101.,10202411-5
2,2411,6,,licentia eligere confessor 31 martius 1401 L 91 211.,10202411-6
2,2411,7,,et Elisabeth eius uxor: indulgentia pro eis qui reliquia in ecclesia Misnensis ab ipsis collocata visitant 22 november 1401 L 100 57v.,10202411-7
2,2411,8,,indulgentia pro omnibus qui missis ad altare in choro ecclesia Misnensis a marchione fundatum celebrandis intersunt 7 februarius 1403 L 108 205.,10202411-8
2,2477,0,Hadmersleve,,10202477-0
2,2477,1,,ecclesia sancti Petri et Pauli monasterium monialis ordo sancti Benedicti Halberstadensis diocesis: indulgentia ad instar ecclesia sancti Marci Venet. 10 ianuarius 1399 L 71 123.,10202477-1
2,2495,0,Hamburg,,10202495-0
2,2495,1,,opidum Bremensis diocesis procons. etc.: de altare portatile pro turri Nigeo alias Nigewerk iuxta portum fluminis Alba et prope mare Oceanum situato 10 november 1390 L 10 191.,10202495-1
2,2495,2,,opidum Bremensis diocesis procons. etc.: de altare portatile in castro Rizebutel dictus diocesis 29 martius 1395 R 163v.,10202495-2
2,2495,3,,ecclesia conventus ordo predicatorum: indulgentia ad instar ecclesia dictus ordo opidum Wismer. Razeburgensis diocesis 1 iulius 1401 L 89 142v.,10202495-3
2,3398,0,Hesewik,,10203398-0
2,3398,1,,ecclesia beatus Marie Halberstadensis diocesis: indulgentia 20 martius 1403 L 113 151v.,10203398-1
2,3412,0,Hildesleve,,10203412-0
2,3412,1,,ecclesia monasterium ordo sancti Benedicti Halberstadensis diocesis: indulgentia ad instar ecclesia sancti Marci de Venetiis 18 martius 1401 L 90 79v.,10203412-1
2,3604,0,Idelenstede,,10203604-0
2,3604,1,,capella beatus Marie Halberstadensis diocesis: indulgentia 17 aprilis 1401 L 88 157.,10203604-1
2,5209,0,Issleve,,10205209-0
2,5209,1,,opidum Halberstadensis diocesis altare sanctus Trinitatis beatus Marie et trium regum necnon beati XII apostolicus ac X milia martirum et sancti Sebastiani et Crispini in parochialis ecclesia sancti Andree: indulgentia 21 december 1400 L 90 273.,10205209-1
2,5209,2,,confraternitas frater kalend.: confirmatio 1 augustus 1401 R 307v.,10205209-2
2,5321,0,Lynpuhel,,10205321-0
2,5321,1,,capella beatus Marie Nuemburgensis diocesis: indulgentia 28 februarius 1402 L 100 202.,10205321-1
2,5329,0,Lovenborch,,10205329-0
2,5329,1,,parochialis ecclesia opidum Razeburgensis diocesis: indulgentia 20 februarius 1391 L 17 144.,10205329-1
2,5332,0,Luban,,10205332-0
2,5332,1,,opidum Misnensis diocesis parochialis ecclesia sancti Marie: indulgentia 1 martius 1402 L 100 266.,10205332-1
2,5332,2,,ecclesia monasterium monialis sanctus Marie Magd. ordo sancti Augustini: indulgentia 31 iulius 1402 L 104 223v.,10205332-2
2,5439,0,Madela,,10205439-0
2,5439,1,,parochialis ecclesia sancti Martini Misnensis diocesis: indulgentia 17 maius 1401 L 89 127v.,10205439-1
2,5443,0,Magnasalme,,10205443-0
2,5443,1,,opidum Magdeburgensis diocesis ecclesia sancti Johannis baptista que est subiecta parochialis ecclesia in Esterhusin: indulgentia 28 december 1401 L 100 115.,10205443-1
2,5697,0,Muchele,,10205697-0
2,5697,1,,parochialis ecclesia sancti Michaelis Halberstadensis diocesis: indulgentia 10 december 1391 L 24 242v.,10205697-1
2,5711,0,Netekendorp,,10205711-0
2,5711,1,,villa Brandenburgensis diocesis capella sancti Jacobi et Dorothee ac Brigide de Suecia: indulgentia 25 augustus 1401 L 94 167.,10205711-1
2,6133,0,Novacella,,10206133-0
2,6133,1,,abbas etc. monasterium ordo Cisterciensium Misnensis diocesis: mandatum committendi marchioni Moravie et duci Sagan. discussionem super concordia inter dictus monasterium et monasterium Luben. dictus ordo Wratislaviensis diocesis de possessionibus in finibus marchionatus et ducatus factus 14 october 1401 L 91 95.,10206133-1
2,6133,2,,abbas etc. monasterium ordo Cisterciensium Misnensis diocesis: indulgentia 17 ianuarius 1402 L 100 260.,10206133-2
2,6133,3,,abbas etc. monasterium ordo Cisterciensium Misnensis diocesis: incorporatio parochialis ecclesia in Fortinberg et in Besecow et in Funfechin et in Welmenitz dictus diocesis 18 ianuarius 1402 L 104 91v.,10206133-3
2,6177,0,Osterborkch,,10206177-0
2,6177,1,,opidum Halberstadensis diocesis capella sanctus Georgii fundare a Giselberto Dobberkow decretum doctor: indulgentia 28 october 1393 L 27 178.,10206177-1
2,6177,2,,opidum Halberstadensis diocesis capella sanctus Georgii fundare a Giselberto Dobberkow decretum doctor: indulgentia 7 maius 1400 L 79 33.,10206177-2
2,6177,3,,"altare sanctus Johannis baptista in ecclesia sancti Nicolai: mandatum, quod Johannes Schymming rector dictus altare eiusque successores solvant annuatim 2 marchas argenti ad sustentationem monasterium in Crevese ordo sancti Benedicti Verdensis diocesis altare ab Henrico de Soltwedel alias dictus Schymming prepositus de bonis dictus monasterium est fundare 22 martius 1403 L 109 97.",10206177-3
2,6248,0,Parchem,,10206248-0
2,6248,1,,parochialis ecclesia Zwerinensis diocesis: indulgentia ad instar ecclesia sancti Marie in Portiuncula 8 iunius 1401 L 88 132.,10206248-1
2,6985,0,Temptzin,,10206985-0
2,6985,1,,capella domus sanctus Antonii ordo sancti Augustini Zwerinensis diocesis: indulgentia 19 ianuarius 1399 L 71 57.,10206985-1
2,6985,2,,capella domus sanctus Antonii ordo sancti Augustini Zwerinensis diocesis: indulgentia ad instar ecclesia sancti Marci de Venetiis 13 aprilis 1400 L 80 147.,10206985-2
2,7272,0,Treptowe,,10207272-0
2,7272,1,,antiquum opidum Brandenburgensis diocesis capella Closterberche extra muros: indulgentia ad instar ecclesia sancti Marie de Portiuncula 9 aprilis 1400 L 79 1.,10207272-1
2,7276,0,Tribuzes,,10207276-0
2,7276,1,,capella sanctus Georgii Zwerinensis diocesis: indulgentia ad instar ecclesia sancti Marie Magdalene in Dusseldorpe et ecclesia Aquilegensis 24 maius 1401 L 94 223.,10207276-1
2,7448,0,Welpesholt,,10207448-0
2,7448,1,,capella beatus Marie Halberstadensis diocesis: indulgentia ad instar ecclesia sancti Marie in Portiuncula 7 iulius 1401 L 94 199.,10207448-1
2,7530,0,Veteriscelle,,10207530-0
2,7530,1,,monasterium sanctus Marie Cist. ordo Misnensis diocesis: indulgentia 3 februarius 1392 L 25 202v.,10207530-1
2,7567,0,Villabuken,,10207567-0
2,7567,1,,parochialis ecclesia beatus Marie Razeburgensis diocesis: indulgentia 20 februarius 1391 L 12 212v.,10207567-1
2,7568,0,Wilsnack,,10207568-0
2,7568,1,,parochialis ecclesia Corp. Christi Havelbergensis diocesis: indulgentia 25 iulius 1393 L 28 97.,10207568-1
2,7601,0,Wittenberg,,10207601-0
2,7601,1,,opidum Brandenburgensis diocesis ecclesia capella omnes SS. nuncupatus: indulgentia 19 iulius 1398 L 52 35.,10207601-1
2,7645,0,Czedink,,10207645-0
2,7645,1,,capella Corp. Christi Brandenburgensis diocesis: indulgentia ad instar ecclesia monasterium in Regali Lutter Halberstadensis diocesis 8 aprilis 1401 L 87 126.,10207645-1
2,7645,2,,capella Corp. Christi Brandenburgensis diocesis: indulgentia ad instar ecclesia sancti Marci de Venetiis 17 aprilis 1401 L 89 59.,10207645-2
2,7829,0,Dresden,,10207829-0
2,7829,1,,opidum Misnensis diocesis: indulgentia pro ecclesia in area a Wilhelmo march. Misnensis donata per priorem provincialem etc. ordo herem. sanctus Aug. construenda 24 october 1405 L 123 272.,10207829-1
3,171,0,Czwickow,,10300171-0
3,171,1,,capella hospitalis sanctus Georgii extra muros opidum Nuemburgensis diocesis: de indulgentia 17 september 1409 L 136 103v.,10300171-1
3,228,0,Aldenburg,,10300228-0
3,228,1,,ecclesia beatus Marie castri Romanus ecclesia immediatus subiectus: de indulgentia 14 februarius 1414 L 185 278v. .,10300228-1
3,228,2,,capella sanctus Georgii in castro Nuemburgensis diocesis: de indulgentia 22 october 1411 L 158 142v.,10300228-2
3,535,0,Kothebus,,10300535-0
3,535,1,,parochialis ecclesia sancti Nicolai Misnensis diocesis: de indulgentia 24 iunius 1410 L 147 162v.,10300535-1
3,556,0,Dobelin,,10300556-0
3,556,1,,parochialis ecclesia sancti Nicolai Misnensis diocesis: de indulgentia 7 iulius 1413 L 173 205v.,10300556-1
3,1008,0,Hertzeberg,,10301008-0
3,1008,1,,capella Corporis Jesu Christi Misnensis diocesis: de indulgentia 12 ianuarius 1415 L 185 52v.,10301008-1
3,1629,0,Monsboldensberg,,10301629-0
3,1629,1,,capella beatus Marie Virg. Brandenburgensis diocesis: de indulgentia 17 october 1411 L 153 29v.,10301629-1
3,1969,0,Stendal ecclesia sancti Nicolai Halberstadensis diocesis,,10301969-0
3,1969,1,,de indulgentia 10 september 1411 L 158 106v.,10301969-1
3,1990,0,Tangermunde,,10301990-0
3,1990,1,,ecclesia sancti Johannis baptista et Johannis ev. in castro Halberstadensis diocesis: conservatoria 29 maius 1411 L 159 118.,10301990-1
3,1990,2,,ecclesia sancti Johannis baptista et Johannis ev. in castro Halberstadensis diocesis: de dispensatio a statuta super residentia 8 november 1414 L 175 171v.,10301990-2
3,1990,3,,"ecclesia sancti Johannis baptista et Johannis ev. in castro Halberstadensis diocesis: que Carolus Romanus et Bohemie rex in collegiata ecclesia fecerat constitutio, cum parochialis ecclesia sancti Stephani in suburbiis dicti castri in ipsa incorporatio ac parochialis ecclesia in Bretzen Brandenburgensis diocesis ad ipsam spectans: de exemtione a iurisdict. ordinaria cum reservatio iuris patronatus super prepositura pro marchione Brandenburgensis ac iuris institutio prepositus et canonicus ac Visitationis pro decanus ecclesia sancti Nicolai in Stendal Halberstadensis diocesis 5 ianuarius 1415 L 175 45v.",10301990-3
3,1990,4,,"ecclesia sancti Johannis baptista et Johannis ev. in castro Halberstadensis diocesis: mandatum supplicatio Sigismundo Romanus et Vng. rege incorporatio maioris prebenda ecclesia sancti Nicolai in Stendal Halberstadensis diocesis, non obstantibus statuta ecclesia dictus 5 ianuarius 1415 L 175 44v.",10301990-4
3,1990,5,,ecclesia sancti Johannis baptista et Johannis ev. in castro Halberstadensis diocesis: de indulgentia 5 ianuarius 1415 L 185 260.,10301990-5
3,2188,0,Wittenberg,,10302188-0
3,2188,1,,"ecclesia Omniumsanctorum Brandenburgensis diocesis: de indulgentia 17 october 11 L 153 30, 12 ianuarius 1415 L 185 53.",10302188-1
3,2195,0,Wlfelbuttel,,10302195-0
3,2195,1,,capella sanctus Longini prope castrum Halberstadensis diocesis: de indulgentia 25 iulius 1414 L 185 105.,10302195-1
4,277,0,Aldenburg,,10400277-0
4,277,1,,ecclesia sancti Georgii in castro A. Nuemburgensis diocesis in collegiata erecta: indulgentia 8 iulius 1423 I 112 308v.,10400277-1
4,277,2,,capitulum ecclesia sancti Georgii Nuemburgensis diocesis: conservatoria 17 iulius 1423 V 358 83r.,10400277-2
4,277,3,,capitulum ecclesia sancti Georgii Nuemburgensis diocesis: reformatio 17 iulius 1423 S 169 264v.,10400277-3
4,277,4,,magistra etc. monasterium in A. ordo Premonstratensium Treverensis diocesis: reformatio super parochialis ecclesia in Biele Treverensis diocesis 24 februarius 1424 S 174 260r.,10400277-4
4,1168,0,Besekow,,10401168-0
4,1168,1,,"parochialis ecclesia beatus Marie opidum B. Misnensis diocesis: de indulgentia 20 ianuarius 1429 S 235 78r, L 286 140r.",10401168-1
4,1253,0,Burghartzwalde,,10401253-0
4,1253,1,,parochialis ecclesia Misnensis diocesis : de indulgentia 15 december 1429 S 249 246v.,10401253-1
4,1307,0,Busso de Vicedominis miles ambassiator Wilhelmi lantgravii Thuringie ac marchionis Misnensis,,10401307-0
4,1307,1,,de indulgentia pro parochialis ecclesia in Rosla Maguntinae diocesis; de canonicatus sub expectatio prebenda Nuemburgensis necnon sanctus Severi Erforden. pro Henrico Vitztumi clericus Maguntinae diocesis ex utroque de militaris genus; de beneficium sub expectatione prebende pro Frederico Clepe presbiter plebano in Rosla Maguntinae diocesis; de beneficium sub expectatione prebende pro Thoma de Tzwickow clericus Merseburgensis diocesis 30 ianuarius 1418 S 115 170r.,10401307-1
4,1309,0,Caldenborne,,10401309-0
4,1309,1,,monasterium sanctus Johannis evangelista canonicus regularis Halberstadensis diocesis : de indulgentia 24 maius 1421 S 152 187v.,10401309-1
4,1318,0,Canewitz,,10401318-0
4,1318,1,,capella beatus Catherine Misnensis diocesis : indulgentia 24 maius 1421 L 212 260v.,10401318-1
4,1399,0,Catherina marchionissa Misnensis,,10401399-0
4,1399,1,,"de indulgentia pro altare beatus Marie, conceptionis Anne, Andree apostolicus ac omnes SS. in capella castri Culditz Misnensis diocesis ab ipsa fundato 11 december 1421 S 158 182r.",10401399-1
4,1415,0,Keentze,,10401415-0
4,1415,1,,capella beatus Marie virgo infra limites parochialis ecclesia in Baard Zwerinensis diocesis : indulgentia 31 maius 1418 L 195 112r.,10401415-1
4,1421,0,Kempnic,,10401421-0
4,1421,1,,parochialis ecclesia sancti Jacobi Misnensis diocesis : indulgentia 3 december 1421 L 222 217v.,10401421-1
4,2363,0,Dobelin,,10402363-0
4,2363,1,,parochialis ecclesia sancti Nicolai Misnensis diocesis : de indulgentia 29 november 1424 S 182 54v.,10402363-1
4,2521,0,Ebrstorff,,10402521-0
4,2521,1,,parochialis ecclesia beatus Marie virgo Misnensis diocesis : indulgentia 4 maius 1426 L 263 320r.,10402521-1
4,2962,0,Vredeland,,10402962-0
4,2962,1,,capella beatus Marie virgo in cimiterio parochialis ecclesia opidum Havelbergensis diocesis: de indulgentia 8 november 1419 S 134 43.,10402962-1
4,2962,2,,"capella beatus Marie virgo in cimiterio parochialis ecclesia opidum Havelbergensis diocesis: de indulgentia 6 iunius 20 S 145 25v, 8 iulius 1420 L 208 222v.",10402962-2
4,2962,3,,fraternitas sacerdotum et scolarium sanctus Gregorii : de indulgentia 8 november 1419 S 134 43.,10402962-3
4,2980,0,Fridericus marchio Brandenburgensis elector ac burggravius Nuremberg.,,10402980-0
4,2980,1,,de insigniis pontificalis pro abbas monasterium Fontissalutis ordo Cisterciensium Eistetensis diocesis; de insigniis pontificalis pro abbas monasterium in Wallerbach ordo Cisterciensium Ratisbonensis diocesis; de licentia benedicendi res sacras pro abbas monasterium in Wiltzburg ordo sancti Benedicti Eistetensis diocesis; de remissio plenarius pro abbas et monachis supradd. monasterium 20 december 1417 S 108 47.,10402980-1
4,2980,2,,de licentia divina resumendi post expulsionem excommunicatio pro consul etc. Noveciv. Brandenburgensis; de indulgentia pro parochialis ecclesia sancti Katherine et Amalberge Noveciv. predicte; de indulgentia pro altare corpus Christi in parochialis ecclesia predicta; de indulgentia pro capella sanctus Urbani et sanctus Spiritus penes portam Noveciv. predicte 21 aprilis 1418 S 110 285.,10402980-2
4,2980,3,,de indulgentia pro parochialis ecclesia in Schwobuch Eistetensis diocesis; de indulgentia pro hospitale pauperum dictus opidum; de indulgentia pro parochialis ecclesia sancti Ulrici in villa Blauelden Herbipolensis diocesis; de indulgentia pro parochialis ecclesia in Kreulssheim Herbipolensis diocesis 21 aprilis 1418 S 110 287v.,10402980-3
4,2980,4,,de indulgentia pro parochialis ecclesia in Langentzem Herbipolensis diocesis 21 aprilis 1418 S 112 8v.,10402980-4
4,2980,5,,de confirmatio privil.; de esu carnium pro Agneta sorore sua abbatissa etc. monasterium curie Regnitz ordo sancte Clare Bambergensis diocesis 21 aprilis 1418 S 112 20.,10402980-5
4,2980,6,,de confessio; interdictum; licentia sacram. eucharistie ministrandi pro quolibet sacerdote ab ipso electo 27 maius 1418 S 112 118.,10402980-6
4,2980,7,,de indulgentia pro monasterium in Langentzeim Herbipolensis diocesis 29 maius 1418 S 118 253v.,10402980-7
4,2980,8,,de licentia intrandi in monasterium monialis curie Regnitz ordo sancte Clare Bambergensis diocesis cuius abbatissa soror existit; de remissio plenarius pro Agnete abbatissa; de licentia commutandi ieiunium pro Elizabeth uxore sua; de mortis articulus pro Adelheid abbatissa monasterium Coroneceli ordo Cisterciensium Bambergensis diocesis 20 december 1421 S 159 7v.,10402980-8
4,2980,9,,reformatio concessio ingressus monasterium monialis curie Regnitz ordo sancte Clare Bambergensis diocesis 20 december 1421 S 160 61v.,10402980-9
4,2980,10,,PK non 112/114.,10402980-10
4,2980,11,,de erectione capelle in villa Werd prope opidum Nuremburg Bambergensis diocesis et sub parochialis ecclesia sancti Sebaldi dictus opidum in parochialis ecclesia 25 november 1423 S 172 62v.,10402980-11
4,2980,12,,de licentia eligere confirmare pro se et familia; altare portatile; interdictum; ante diem; licentia requirendi rectores ecclesia sui patronatus ad residentiam; de confirmatio emptionis feudorum in partibus Franconie Bavarie et Suevie ab Oswaldo comes de Truhending cum iuribus presens; de confirmatio privil. concedere ab Augustino priori generali ordo frater herem. sanctus A. conventui in Kulmach dictus ordo Bambergensis diocesis 25 ianuarius 1424 S 174 37.,10402980-12
4,2980,13,,de fructus in absentia pro 4 familiaris 25 iulius 1425 S 188 253v.,10402980-13
4,2980,14,,de commissione materie dissensionis inter rector parochialis ecclesia sancti Sebaldi Nurenburg. Bambergensis diocesis et communitatem ville Werd novo episcopus Bambergensis 25 iulius 1425 S 188 253v.,10402980-14
4,2980,15,,et proconsules etc. opidum Nouwen. ? Brandenburgensis diocesis: confirmatio remissionem debitorum et exemtionem ab omnibus contributionibus ad decennium per dominus F. concessam 23 iunius 1426 L 263 88.,10402980-15
4,2980,16,,et Elizabeth uxor: remissio plenarius 17 martius 1428 L 280 258.,10402980-16
4,2980,17,,de confirmatio indulti concedere per H. cardinalis sanctus Eusebii legatum domo ordo f. mandatum Brandenburgensis super electione vicarii etc. 30 aprilis 1428 S 225 262v.,10402980-17
4,2980,18,,"et Johannes eius natus: de altare portatile, ante diem et interdictum pro J.; de lacticiniis pro J. et familia; de confessio pro J. et conthorali; de licentia celebrandi statim post recessum excommunicatio pro Vetericiv. Brandenburgensis 30 december 1429 S 258 217.",10402980-18
4,2980,19,,de dispensatio super ieiunio et abstinentia; de lacticiniis; de licentia eligere confessor 16 martius 1430 S 254 211.,10402980-19
4,3100,0,Fridericus senior marchio Misnensis,,10403100-0
4,3100,1,,de confirmatio privil. de non evocando 7 maius 1418 S 112 162.,10403100-1
4,3100,2,,lantgravius Thuringie et marchio Misnensis etc. et Katherina uxor: de remissio plenarius; altare portatile; interdictum; ante diem; confessio; lacticiniis etiam pro subditis; esu carnium pro monachis ordo Cisterciensium ipsos visitantibus 7 maius 1418 S 112 162.,10403100-2
4,3100,3,,licentia celebrandi post ingressum suum ad loca interdicta 22 december 1420 L 212 137v.,10403100-3
4,3100,4,,"de confirmatio statutorum super canonicatus et prebenda Nuemburgensis, Misnensis, ecclesia sancti Petri et Pauli Cytzen. Nuemburgensis diocesis obtinendis a personis universitatis studii Liptzen. Merseburgensis diocesis; de concessio iuris patronatus omnes canonicatus et prebenda ad partem iam tenet ecclesia Misnensis; interdictum 22 december 1420 S 150 101.",10403100-4
4,3100,5,,de non evocando pro subditis 6 ianuarius 1421 S 150 120.,10403100-5
4,3100,6,,statuitur ut duo canonicatus et maior prebenda Merseburgensis presentatis per rector etc. studii Liptzen. conferantur 20 ianuarius 1421 L 212 135v.,10403100-6
4,3100,7,,de concessio iuris patronatus etiam ad alios 8 canonicatus et prebenda Misnensis; licentia ut capellanus suus coram se missam celebrare possit ubicumque sine licentia alicuius 9 martius 1421 S 151 21v.,10403100-7
4,3100,8,,de indulgentia pro parochialis ecclesia in opidum Mitteweydis Misnensis diocesis; pro parochialis ecclesia sancti Jacobi in opidum Kempnicen. dictus diocesis; pro ecclesia beatus Marie virgo e. opidum Githan Merseburgensis diocesis; mortis articulus pro Henrico Lukaw vicarius in castro Aldenburg Nuemburgensis diocesis 3 december 1421 S 158 73.,10403100-8
4,3100,9,,"reformatio supplicatio de non evocando 11 december 1421 S 158 80v, L 222 194.",10403100-9
4,3100,10,,"reformatio supplicatio 23 december 1421 S 158 197v, super collatione beneficium ecclesia Misnensis L 222 198.",10403100-10
4,3100,11,,concessio facultas presentandi ad canonicatum et prebenda primo vacaturos in ecclesia opidum Gothen. Maguntinae diocesis 10 augustus 1423 L 233 200.,10403100-11
4,3100,12,,dus Saxonie archimarscallus et elector imperii: de licentia super esu carnium pro religiosis in sua mensa 10 september 1423 S 170 95.,10403100-12
4,3100,13,,de non promotio ad ordo pro medico suo Johanne Ade de Mobertingen rector parochialis ecclesia in Herbesleben Maguntinae diocesis magister in artes et medicina 4 aprilis 1424 S 177 38v.,10403100-13
4,3100,14,,de indulgentia pro parochialis ecclesia beatus Marie virgo in Ebirstorff Misnensis diocesis 18 maius 1425 S 192 207.,10403100-14
4,3683,0,Githan,,10403683-0
4,3683,1,,parochialis ecclesia beatus Marie extra muros opidum Merseburgensis diocesis: indulgentia 3 december 1421 L 222 153.,10403683-1
