abbreviation,occurrences,word_accuracy,form_accuracy,no_gold_label,most_frequent_error,gold_variants,potential_gain
fr.,17,0.1765,0.0588,0,frater,"fratrem, fratres, fratrum",16.0004
vicar.,23,1.0,0.3478,0,vicaria,"vicaria, vicariam, vicarie, vicariis",15.0006
ian.,19,1.0,0.2105,13,ianuarius,"ian., ianuarii",15.000499999999999
Zwerin.,48,1.0,0.6875,0,Zwerinensis,"Zwerinensem, Zwerinensi, Zwerinensibus, Zwerinensis",15.0
conf.,42,0.9524,0.6429,1,confirmatio,"conf., confessorem, confirmata, confirmati, confirmatio",14.998199999999999
s.,252,0.9683,0.9405,4,sancti,"s., sacri, sancte, sancti, sine",14.994
capit.,18,0.2222,0.2222,0,singuli canonici,"capituli, capitulo, capitulum",14.0004
archidiac.,18,0.3333,0.2222,0,archidiaconus,"archidiaconatu, archidiaconatus, archidiaconi, archidiacono, archidiaconus",14.0004
febr.,20,1.0,0.3,9,februarius,"febr., februarii",14.0
rect.,24,1.0,0.4167,0,rector,"rector, rectore, rectorem, rectori, rectoris",13.999199999999998
Brandenburg.,42,1.0,0.6667,1,Brandenburgensis,"Brandenburg., Brandenburgensem, Brandenburgensi, Brandenburgensis, Brandenburgensium",13.998600000000001
iul.,29,1.0,0.5517,15,iulius,"iul., iulii",13.0007
confess.,16,0.4375,0.1875,0,confessione,"confessionale, confessionali, confessiones, confessionibus, confessorem",13.0
abb.,22,0.9091,0.4091,0,abbati,"abbas, abbate, abbates, abbati, abbatibus",12.9998
sept.,18,1.0,0.3333,3,september,"sept., septembris",12.000600000000002
off.,17,1.0,0.2941,0,officium,"officia, officii, officio, officium",12.0003
alt.,40,1.0,0.7,0,altare,"altare, altari, altaris",12.000000000000002
Halberstad.,92,1.0,0.8696,0,Halberstadensis,"Halberstadensem, Halberstadensi, Halberstadensis",11.996799999999997
indulg.,185,0.9946,0.9405,0,indulgentia,"indulgentia, indulgentiam, indulgentiarum, indulgentias, indulgentie",11.0075
Gustrowen.,12,1.0,0.0833,0,Gustrowensis,"Gustrowensem, Gustrowensi, Gustrowensis",11.000399999999999
litig.,11,0.3636,0.0,0,litigiosus,"litigat, litigiosis",11.0
min.,19,1.0,0.4211,0,minor,"minores, minori, minoribus, minoris, minorum",10.999099999999999
oct.,23,1.0,0.5652,6,october,"oct., octobris",10.000399999999999
colleg.,14,1.0,0.2857,0,collegiatae,"collegiata, collegiatam, collegiate, collegiatis",10.0002
cler.,16,1.0,0.375,0,clericus,"clerici, clerico, clericorum, clericum, clericus",10.0
presb.,13,1.0,0.2308,0,presbiter,"presbiter, presbiteri, presbitero, presbiterorum, presbiterum",9.9996
dioc.,363,1.0,0.9725,1,diocesis,"dioc., diocesi, diocesibus, diocesis, diocesium",9.98249999999999
Nuemburg.,45,1.0,0.8222,4,Nuemburgensis,"Nuemburg., Nuemburgensi, Nuemburgensibus, Nuemburgensis, Nuemburgensium",8.000999999999998
fam.,11,0.8182,0.2727,0,familiares,"familiaribus, familiaris, familiarium",8.000300000000001
val.,8,1.0,0.0,1,valere,"val., valeant, valeat",8.0
interd.,17,1.0,0.5882,0,interdictum,"interdicti, interdictis, interdicto, interdictum",7.000600000000001
port.,9,1.0,0.2222,0,portatile,"portatile, portatili",7.0002
R.,18,0.9444,0.6111,1,Romanum,"R., Romane, Romani, Romanorum, regem",7.0002
ep.,28,1.0,0.75,0,episcopo,"episcopi, episcopo, episcopum, episcopus",7.0
fund.,7,0.0,0.0,0,fundatio,"fundata, fundatum, fundavit",7.0
decb.,10,1.0,0.3,0,december,decembris,7.0
capel.,28,1.0,0.75,0,capellae,"capella, capellam, capelle",7.0
aug.,14,1.0,0.5714,5,augustus,"aug., augusti",6.0004
iun.,20,1.0,0.7,4,iunius,"iun., iunii, iuniorem, iunioris",6.000000000000001
com.,12,1.0,0.5,0,comitis,"comes, comite, comitem, comitibus, comitum",6.0
Reval.,6,0.0,0.0,0,Revaliensis,Revalensis,6.0
S.,6,1.0,0.0,7,Sacrum,"S., sacri",6.0
prebend.,6,1.0,0.0,0,prebendatis,"prebendati, prebendatos",6.0
litt.,6,1.0,0.0,0,littere,"litterarum, litteras, litteris",6.0
annat.,6,1.0,0.0,0,annatam,"annata, annatis",6.0
procons.,6,1.0,0.0,0,proconsul,proconsules,6.0
prov.,18,0.8333,0.6667,0,provisio,"providit, provincia, provisio, provisione, provisum",5.9994000000000005
hosp.,17,1.0,0.6471,0,hospitali,"hospitale, hospitali, hospitalia, hospitalibus, hospitalis",5.9993
dom.,18,1.0,0.7222,0,domus,"dominorum, dominus, domo, domui, domum",5.000400000000001
ap.,9,0.6667,0.4444,0,apostolicus,"apostoli, apostolice, apostolici, apostolicum, apostolorum",5.0004
nunc.,9,1.0,0.4444,0,nuncupatus,"nuncupata, nuncupatum",5.0004
relax.,21,1.0,0.7619,0,relaxationis,"relaxatio, relaxatione, relaxationis",5.0001
vicarr.,5,0.0,0.0,0,vicariatus,vicariarum,5.0
gen.,5,0.2,0.0,0,generalis,genere,5.0
cann.,5,1.0,0.0,0,canonicis,canonici,5.0
utr.,5,0.0,0.0,0,utrius,"utriusque, utroque",5.0
Prem.,5,1.0,0.0,0,Premonstratensium,Premonstratensis,5.0
incompat.,6,0.1667,0.1667,0,incompatibilitatis,"incompatibilia, incompatibilibus",4.9998000000000005
ev.,6,1.0,0.1667,0,evangelistarum,evangeliste,4.9998000000000005
fl.,6,1.0,0.1667,0,florenos,"florenis, florenorum, florenos",4.9998000000000005
nov.,17,1.0,0.7059,7,november,"nov., novembris",4.999700000000001
disp.,11,1.0,0.5455,0,dispensatio,"dispensatio, dispensatione, dispensationis",4.9995
Dyminen.,6,1.0,0.3333,0,Dyminensis,"Dyminensi, Dyminensis",4.0002
ordin.,6,1.0,0.3333,0,ordinaria,"ordinaria, ordinarii",4.0002
conserv.,13,0.6923,0.6923,0,conservando,"conservatoria, conservatoriis",4.0001
incorp.,13,0.8462,0.6923,0,incorporationis,"incorporata, incorporatio, incorporatione, incorporationis, incorporationum",4.0001
exten.,4,0.0,0.0,0,extensio,extensione,4.0
resign.,5,1.0,0.2,0,resignatione,resignationem,4.0
gr.,4,1.0,0.0,0,gratia,"gratiam, gratie",4.0
ord.,5,0.6,0.2,0,ordine,"ordines, ordinis",4.0
Conc.,4,0.0,0.0,0,Concilio,Concessum,4.0
aep.,7,1.0,0.4286,0,archiepiscopo,"archiepiscopo, archiepiscopos, archiepiscopum, archiepiscopus",3.9998
privil.,7,1.0,0.4286,0,privilegii,"privilegii, privilegiorum, privilegium",3.9998
e.,22,0.8636,0.8636,2,"","e., expectatione, extra",3.000799999999999
perp.,7,1.0,0.5714,0,perpetuus,"perpetua, perpetuis, perpetuo, perpetuus",3.0002
Bremen.,10,1.0,0.7,0,Bremensis,"Bremensi, Bremensis",3.0000000000000004
ux.,5,1.0,0.4,0,uxorem,"uxor, uxore",3.0
Erford.,3,0.0,0.0,0,Erfordiensis,Erfordensi,3.0
celebr.,3,1.0,0.0,0,celebrare,"celebrandi, celebrari",3.0
Magnopolen.,5,1.0,0.4,0,Magnopolensis,"Magnopolensi, Magnopolensis",3.0
sen.,5,1.0,0.4,0,senior,"senior, seniore, senioris",3.0
omn.,4,1.0,0.25,0,omnes,"omnibus, omnium",3.0
Rom.,3,1.0,0.0,0,Romani,"Romane, Romanorum",3.0
abba.,5,1.0,0.4,0,abbatissae,abbatissa,3.0
prom.,3,0.0,0.0,0,promotione,promovendo,3.0
reserv.,6,0.5,0.5,0,reservatio,"reservata, reservatione, reservatis",3.0
Brunswicen.,3,0.6667,0.0,2,Brunswicensium,"Brunswicen., Brunswicensi, Brunswicensibus",3.0
mil.,6,0.8333,0.5,0,milia,"miles, militari, milium",3.0
dd.,3,1.0,0.0,0,dicti,"dictorum, dictos",3.0
fil.,4,1.0,0.25,0,filius,"filialis, filium",3.0
Lubic.,8,1.0,0.625,0,Lubicensis,"Lubicensem, Lubicensi, Lubicensis",3.0
cass.,4,0.25,0.25,0,cassatio,"cassatione, cassatum",3.0
Stolpen.,5,1.0,0.4,0,Stolpensis,"Stolpensi, Stolpensis",3.0
sec.,3,1.0,0.0,0,secularis,seculares,3.0
fruct.,4,1.0,0.25,0,fructuum,"fructibus, fructus",3.0
appl.,3,0.3333,0.0,0,apostolorum,"apostolorum, applicata",3.0
iur.,4,1.0,0.25,0,iuris,iure,3.0
J.,3,0.0,0.0,1,"","J., Johanne",3.0
vic.,4,1.0,0.25,0,vicarius,"vicario, vicarios, vicarium, vicarius",3.0
civ.,5,1.0,0.4,0,civitas,"civitate, civitatibus, civitatis, civium",3.0
Terdon.,3,0.0,0.0,0,Terdonis,Terdonensis,3.0
A.,3,0.0,0.0,1,"","A., Aldenburg, Augustini",3.0
nob.,5,1.0,0.4,0,nobiles,"nobiles, nobili, nobilibus, nobilis",3.0
prorog.,4,1.0,0.25,0,prorogatio,"prorogatio, prorogatione",3.0
Prep.,6,1.0,0.5,0,Prepositi,Prepositus,3.0
vacat.,3,1.0,0.0,0,vacaturus,"vacantis, vacatura",3.0
suprad.,5,1.0,0.4,0,supradictae,"supradicta, supradictas, supradicte, supradicto",3.0
Merseburg.,15,1.0,0.8,0,Merseburgensis,"Merseburgensem, Merseburgenses, Merseburgensi, Merseburgensis",2.999999999999999
rem.,11,1.0,0.7273,0,remissio,"remissio, remissione",2.9997000000000007
Par.,9,0.6667,0.6667,0,Parchim,Parochialis,2.9997000000000003
p.,63,0.9524,0.9524,4,prebenda,"p., per, puri",2.9987999999999984
b.,83,0.988,0.9639,1,beatus,"b., beate",2.9963000000000015
lic.,37,1.0,0.9459,0,licentia,"licentia, licentie",2.0017000000000014
I.,12,1.0,0.8333,3,Imperatoris,"I., imperator, imperatore, imperatorem, imperii",2.0003999999999995
laic.,3,1.0,0.3333,0,laici,"laicorum, laicus",2.0001
doct.,3,1.0,0.3333,0,doctor,"doctor, doctore",2.0001
decr.,3,1.0,0.3333,0,decretum,decretorum,2.0001
exec.,3,0.3333,0.3333,0,executio,"executor, executores",2.0001
scolast.,3,1.0,0.3333,0,scolastici,"scolastico, scolasticum, scolasticus",2.0001
instit.,3,0.3333,0.3333,0,institutione,"instituendi, institutam, institutio",2.0001
constit.,3,0.6667,0.3333,1,constitutionem,"constit., constitui, constituitur, constitutione",2.0001
dim.,2,0.5,0.0,0,dimissio,"dimissionem, dimisso",2.0
Hildesem.,8,1.0,0.75,0,Hildesemensium,"Hildesemensi, Hildesemensis",2.0
a.,2,0.0,0.0,0,"","anno, argenti",2.0
immed.,2,1.0,0.0,0,immediata,immediate,2.0
Eccl.,2,1.0,0.0,0,Ecclesie,Ecclesia,2.0
assec.,4,0.75,0.5,0,assecutus,"assecutionem, assecutus",2.0
surrog.,4,1.0,0.5,0,surrogatio,"surrogatione, surrogationis",2.0
acc.,2,0.0,0.0,0,acceptatio,"acceptare, acceptavit",2.0
excom.,2,0.0,0.0,0,excommunicationis,excommunicatorum,2.0
herem.,4,1.0,0.5,0,heremitarium,heremitarum,2.0
cur.,2,0.0,0.0,0,Romanae curiae,curia,2.0
statut.,2,1.0,0.0,0,statuto,statutis,2.0
fact.,2,1.0,0.0,1,facta,"fact., facta, facte",2.0
script.,2,0.0,0.0,0,scriptus,scriptoris,2.0
reg.,2,1.0,0.0,0,regularis,regularium,2.0
martir.,2,1.0,0.0,0,martir,martiris,2.0
Norenbergen.,2,1.0,0.0,0,Norenbergensis,Norenbergensi,2.0
Osnaburg.,8,1.0,0.75,2,Osnaburgensis,"Osnaburg., Osnaburgensi, Osnaburgensis",2.0
epp.,2,1.0,0.0,0,episcopi,episcopis,2.0
res.,4,1.0,0.5,0,resignatione,resignationem,2.0
recip.,2,1.0,0.0,0,recipere,"recipi, recipiendi",2.0
Basil.,2,0.0,0.0,0,Basileensis,"Basiliensi, Basiliensis",2.0
pec.,2,1.0,0.0,0,pecunia,pecuniis,2.0
expect.,5,0.8,0.6,0,expectativa,"expectatione, expectativa, expectativam, expectative",2.0
Precept.,2,1.0,0.0,0,Preceptores,Preceptor,2.0
Liptzen.,2,0.0,0.0,1,Liptzenensis,"Liptzen., Liptzensis",2.0
pres.,2,1.0,0.0,1,presentis,"pres., presente",2.0
Sleswic.,2,1.0,0.0,0,Sleswicensis,Sleswicensi,2.0
Colon.,2,1.0,0.0,0,Coloniensis,"Coloniensem, Coloniensium",2.0
pont.,2,1.0,0.0,0,pontificalia,pontificalibus,2.0
Hamburgen.,2,1.0,0.0,0,Hamburgense,Hamburgensis,2.0
Magunt.,5,0.6,0.6,25,Maguntinensis,"Magunt., Maguntine, Maguntino, Maguntinos",2.0
prep.,10,1.0,0.8,0,prepositus,"prepositi, preposito, prepositum, prepositus",1.9999999999999996
al.,7,1.0,0.7143,0,alias,"alia, alias, aliis, aliorum",1.9998999999999998
v.,15,1.0,0.8667,138,virgo,"v., virginis",1.9994999999999996
Razeburg.,17,1.0,0.8824,0,Razeburgensis,"Razeburgensem, Razeburgensi, Razeburgensis",1.9992000000000005
scolastr.,6,1.0,0.8333,0,scolastriae,"scolastria, scolastrie",1.0001999999999998
Capel.,6,1.0,0.8333,0,Capellae,Capella,1.0001999999999998
revoc.,6,1.0,0.8333,0,revocationis,"revocatio, revocatione, revocationem, revocationis",1.0001999999999998
art.,1,1.0,0.0,0,artium,artibus,1.0
kal.,1,1.0,0.0,0,kalendarum,kalendas,1.0
presbb.,1,1.0,0.0,0,presbiterum,presbiteros,1.0
Citzen.,1,0.0,0.0,0,Citzenau,Citzensi,1.0
acol.,1,1.0,0.0,0,acolitho,acolitum,1.0
Havelberg.,16,1.0,0.9375,0,Havelbergensis,"Havelbergensi, Havelbergensis",1.0
Stetinen.,2,1.0,0.5,0,Stetinensis,"Stetinensis, Stetinensium",1.0
Johannesabb.,1,0.0,0.0,0,Johannesabbatis,Johannesabbas,1.0
Sagan.,1,0.0,0.0,0,Sagani,Saganensi,1.0
Rigen.,1,1.0,0.0,0,Rigensis,Rigensi,1.0
Rostoccen.,1,0.0,0.0,0,"",Rostoccensis,1.0
abbrev.,1,0.0,0.0,0,litterarum apostolicarum abbreviator,abbreviatoris,1.0
F.,1,0.0,0.0,0,"",Fridericum,1.0
Embecen.,1,0.0,0.0,0,"",Embecensis,1.0
pertin.,1,1.0,0.0,0,pertinente,pertinentis,1.0
consil.,1,0.0,0.0,0,consiliarios,consiliariis,1.0
deput.,1,1.0,0.0,0,deputati,deputandi,1.0
capp.,2,1.0,0.5,0,capellani,"capellani, capellanis",1.0
Kempnicen.,1,1.0,0.0,0,Kempnicensis,Kempnicensi,1.0
cap.,2,0.5,0.5,1,capitulo,"cap., capellanos, capellanus",1.0
ingr.,1,1.0,0.0,0,ingressus,ingrediendi,1.0
f.,1,0.0,0.0,0,"",fratrum,1.0
relig.,1,1.0,0.0,0,religiosus,religiosas,1.0
solv.,1,1.0,0.0,0,solvere,solvit,1.0
coll.,2,1.0,0.5,0,collationi,"collatione, collationem",1.0
card.,8,1.0,0.875,0,cardinali,"cardinalem, cardinali, cardinalis",1.0
exempt.,1,1.0,0.0,0,exemptionis,exemptio,1.0
Mag.,1,1.0,0.0,0,Magistri,Magister,1.0
decan.,1,0.0,0.0,0,decano,decanatu,1.0
spect.,2,1.0,0.5,0,spectare,"spectans, spectante",1.0
Gothen.,1,0.0,0.0,0,Gothenensis,Gothensis,1.0
sacram.,1,1.0,0.0,0,sacramenta,sacramentum,1.0
collect.,1,1.0,0.0,0,collector,collectoris,1.0
Ciczen.,1,1.0,0.0,0,Ciczensi,Ciczensis,1.0
confic.,1,0.0,0.0,0,conficere,conficiendis,1.0
decc.,1,1.0,0.0,0,decanus,decani,1.0
Lucan.,1,0.0,0.0,0,Lucanensis,Lucano,1.0
Diminen.,1,0.0,0.0,0,"",Diminensis,1.0
scol.,1,0.0,0.0,0,scolasticus,scolares,1.0
capitul.,1,0.0,0.0,0,capitulo,capitulari,1.0
bb.,2,1.0,0.5,0,beati,beatorum,1.0
Rostockcen.,1,0.0,0.0,0,"",Rostockcensis,1.0
B.,1,0.0,0.0,14,"","B., Besekow",1.0
prothon.,1,1.0,0.0,0,prothonotarius,prothonotarium,1.0
imper.,1,0.0,0.0,0,imperiali,imperatorum,1.0
loc.,1,1.0,0.0,0,loci,loco,1.0
perm.,1,1.0,0.0,0,permutatione,permutationis,1.0
Cytzen.,1,0.0,0.0,0,Cytzenensis,Cytzensis,1.0
pleban.,1,0.0,0.0,0,plebanatus,plebania,1.0
Tirasonen.,1,0.0,0.0,0,"",Tirasonensem,1.0
Parchimen.,2,1.0,0.5,0,Parchimensis,"Parchimensi, Parchimensis",1.0
Lipczen.,1,0.0,0.0,0,"",Lipczensi,1.0
absol.,2,0.5,0.5,0,absolutionis,"absolutione, absolvendi",1.0
Nuremberg.,1,0.0,0.0,0,Nuremberge,Nurembergensis,1.0
Franckforden.,1,0.0,0.0,0,"",Franckfordensi,1.0
prepos.,4,1.0,0.75,0,prepositurae,"prepositura, prepositure",1.0
Lubuc.,1,1.0,0.0,0,Lubucensis,Lubucensi,1.0
feb.,1,1.0,0.0,0,februarius,februarii,1.0
lim.,1,0.0,0.0,0,limina,limites,1.0
resid.,2,1.0,0.5,0,residentia,"residendo, residentia",1.0
evoc.,1,1.0,0.0,0,evocare,evocandi,1.0
mag.,2,1.0,0.5,0,magister,"magistro, magistrum",1.0
supradd.,1,1.0,0.0,0,supradicti,supradictorum,1.0
Stendalien.,2,1.0,0.5,0,Stendaliensis,"Stendaliensi, Stendaliensis",1.0
march.,1,1.0,0.0,0,marchionis,marchione,1.0
Tangermunden.,2,0.5,0.5,0,"","Tangermundensi, Tangermundensis",1.0
Bononien.,1,1.0,0.0,0,Bononiensium,Bononiensem,1.0
cellerar.,2,1.0,0.5,0,cellerarius,"cellerario, cellerarius",1.0
present.,1,1.0,0.0,0,presentationi,presentationem,1.0
Hosp.,1,1.0,0.0,0,Hospitali,Hospitale,1.0
cant.,1,1.0,0.0,0,cantor,cantorem,1.0
Luneborgen.,1,0.0,0.0,0,"",Luneborgensibus,1.0
succoll.,2,1.0,0.5,0,succollector,"succollectores, succollectoris",1.0
erig.,2,1.0,0.5,0,erigere,erigendi,1.0
Brunswic.,1,1.0,0.0,2,Brunswicensis,"Brunswic., Brunswicensi, Brunswicensis.",1.0
Vetericiv.,1,1.0,0.0,0,Vetericivitatis,Vetericivitate,1.0
Rosticen.,1,1.0,0.0,0,Rosticensis,Rosticensi,1.0
Verden.,2,1.0,0.5,0,Verdensis,"Verdensi, Verdensis",1.0
Luben.,1,0.0,0.0,0,Lubencii,Lubense,1.0
transf.,1,1.0,0.0,0,transferendi,transferendo,1.0
med.,1,1.0,0.0,0,medicinae,medicina,1.0
Hamborg.,1,0.0,0.0,0,"",Hamborgensis,1.0
procur.,1,1.0,0.0,0,procurator,procuratorem,1.0
Nurenburg.,1,0.0,0.0,0,"",Nurenburgensis,1.0
Luneborg.,1,0.0,0.0,0,"",Luneborgensi,1.0
assign.,2,0.5,0.5,0,assignationis,"assignandi, assignatio",1.0
Constant.,2,1.0,0.5,0,Constantiensis,"Constantiense, Constantiensis",1.0
dign.,1,1.0,0.0,0,dignitas,dignitates,1.0
Gostrowen.,1,1.0,0.0,0,Gostrowensis,Gostrowensi,1.0
civit.,10,1.0,0.9,0,civitatis,"civitate, civitatem, civitatis",0.9999999999999998
patron.,10,0.9,0.9,0,patronatus,"patronatus, patronis",0.9999999999999998
el.,5,0.8,0.8,0,electionis,"electus, eligendi",0.9999999999999998
plen.,10,1.0,0.9,0,plenarius,plenaria,0.9999999999999998
artic.,3,1.0,0.6667,0,articulus,articulo,0.9999000000000001
ann.,3,1.0,0.6667,0,annatae,"annata, annatarum",0.9999000000000001
cam.,3,1.0,0.6667,0,camerae,"camera, camere",0.9999000000000001
fac.,3,0.6667,0.6667,0,facultas,"faciunt, facultas",0.9999000000000001
elig.,3,1.0,0.6667,0,eligere,eligendi,0.9999000000000001
approb.,3,0.6667,0.6667,0,approbatione,"approbatio, approbatione, approbet",0.9999000000000001
Bamberg.,9,1.0,0.8889,0,Bambergensis,"Bambergensi, Bambergensis",0.9998999999999998
vs.,0,0.0,0.0,29,"",vs.,0.0
L.,0,0.0,0.0,4,"",L.,0.0
nom.,0,0.0,0.0,1,"",nom.,0.0
sup.,42,1.0,1.0,0,"",super,0.0
Nouwen.,0,0.0,0.0,1,"",Nouwen.,0.0
tit.,1,1.0,1.0,0,"",tituli,0.0
Asscherleven.,0,0.0,0.0,1,"",Asscherleven.,0.0
Ferrarien.,1,1.0,1.0,0,"",Ferrariensem,0.0
Corp.,4,1.0,1.0,0,"",Corporis,0.0
Lincopen.,2,1.0,1.0,0,"",Lincopensis,0.0
diac.,5,1.0,1.0,0,"",diaconi,0.0
tab.,0,0.0,0.0,1,"",tab.,0.0
publ.,0,0.0,0.0,1,"",publ.,0.0
decl.,3,1.0,1.0,0,"",declaratione,0.0
subiect.,1,1.0,1.0,0,"",subiecta,0.0
T.,0,0.0,0.0,7,"",T.,0.0
Hamburg.,3,1.0,1.0,0,"",Hamburgensis,0.0
Trever.,3,1.0,1.0,0,"","Treverensem, Treverensis",0.0
retin.,1,1.0,1.0,0,"",retinere,0.0
Bebracen.,3,1.0,1.0,0,"",Bebracensis,0.0
apr.,26,1.0,1.0,15,"","apr., aprilis",0.0
mort.,3,1.0,1.0,0,"",mortis,0.0
Aquileg.,1,1.0,1.0,0,"",Aquilegensis,0.0
patr.,3,1.0,1.0,0,"",patronatus,0.0
Erforden.,1,1.0,1.0,0,"",Erfordensis,0.0
Wilsnacen.,0,0.0,0.0,1,"",Wilsnacen.,0.0
kalend.,1,1.0,1.0,0,"",kalendarum,0.0
quib.,18,1.0,1.0,0,"",quibus,0.0
M.,0,0.0,0.0,8,"",M.,0.0
succollect.,1,1.0,1.0,0,"",succollectoris,0.0
wic.,0,0.0,0.0,1,"",wic.,0.0
monach.,1,1.0,1.0,0,"",monachi,0.0
subdiac.,1,1.0,1.0,0,"",subdiaconus,0.0
eccles.,1,1.0,1.0,0,"",ecclesiastico,0.0
P.,0,0.0,0.0,2,"",P.,0.0
Stetin.,1,1.0,1.0,0,"",Stetinensis,0.0
etc.,0,0.0,0.0,48,"",etc.,0.0
beneff.,1,1.0,1.0,0,"",beneficia,0.0
iurisdict.,1,1.0,1.0,0,"",iurisdictione,0.0
instr.,1,1.0,1.0,0,"",instrumenti,0.0
c.,32,1.0,1.0,0,"","cum, cura",0.0
matrim.,1,1.0,1.0,0,"",matrimonio,0.0
Cz.,0,0.0,0.0,1,"",Cz.,0.0
U.,0,0.0,0.0,1,"",U.,0.0
committ.,1,1.0,1.0,0,"",committitur,0.0
stud.,1,1.0,1.0,0,"",studii,0.0
episc.,1,1.0,1.0,0,"",episcopalis,0.0
Colleg.,1,1.0,1.0,0,"",Collegiata,0.0
D.,0,0.0,0.0,3,"",D.,0.0
not.,1,1.0,1.0,0,"",notarius,0.0
n.,39,1.0,1.0,2,"","n., non",0.0
Magd.,1,1.0,1.0,0,"",Magdalene,0.0
consul.,1,1.0,1.0,0,"",consulibus,0.0
Virg.,1,1.0,1.0,0,"",Virginis,0.0
benef.,7,1.0,1.0,1,"","benef., beneficia, beneficio, beneficium",0.0
W.,0,0.0,0.0,6,"",W.,0.0
virg.,13,1.0,1.0,0,"",virginis,0.0
IV.,0,0.0,0.0,2,"",IV.,0.0
restit.,2,1.0,1.0,0,"",restitutio,0.0
paup.,2,1.0,1.0,0,"","pauper, pauperum",0.0
univ.,6,1.0,1.0,0,"",universitas,0.0
iudic.,0,0.0,0.0,1,"",iudic.,0.0
E.,2,1.0,1.0,3,"","E., ecclesie",0.0
XXIII.,0,0.0,0.0,1,"",XXIII.,0.0
unac.,1,1.0,1.0,0,"",unacum,0.0
V.,0,0.0,0.0,4,"",V.,0.0
corp.,3,1.0,1.0,0,"",corporis,0.0
Vng.,1,1.0,1.0,0,"",Vngarie,0.0
Balthasari.,0,0.0,0.0,1,"",Balthasari.,0.0
oblig.,6,1.0,1.0,0,"",obligatio,0.0
concil.,3,1.0,1.0,0,"",concilii,0.0
Goslarien.,1,1.0,1.0,0,"",Goslariensis,0.0
visit.,1,1.0,1.0,0,"",visitandi,0.0
monial.,13,1.0,1.0,0,"",monialium,0.0
O.,0,0.0,0.0,12,"",O.,0.0
secr.,2,1.0,1.0,0,"",secretarius,0.0
bapt.,7,1.0,1.0,0,"",baptiste,0.0
Noveciv.,3,1.0,1.0,0,"",Novecivitatis,0.0
diocc.,2,1.0,1.0,0,"",diocesium,0.0
l.,0,0.0,0.0,1,"",l.,0.0
G.,0,0.0,0.0,2,"",G.,0.0
maior.,2,1.0,1.0,0,"",maiorem,0.0
Roskild.,1,1.0,1.0,0,"",Roskildensis,0.0
fragm.,1,1.0,1.0,0,"",fragmentum,0.0
div.,2,1.0,1.0,0,"",divina,0.0
IX.,0,0.0,0.0,1,"",IX.,0.0
ref.,16,1.0,1.0,0,"","reformatio, reformatione",0.0
auct.,2,1.0,1.0,0,"",auctoritate,0.0
prebb.,1,1.0,1.0,0,"",prebende,0.0
pred.,6,1.0,1.0,0,"",predicatorum,0.0
exist.,1,1.0,1.0,0,"",existit,0.0
Op.,1,1.0,1.0,0,"",Opidum,0.0
II.,0,0.0,0.0,4,"",II.,0.0
Leod.,3,1.0,1.0,0,"",Leodiensis,0.0
rss.,0,0.0,0.0,7,"",rss.,0.0
temp.,4,1.0,1.0,0,"",tempore,0.0
Eistet.,3,1.0,1.0,0,"",Eistetensis,0.0
