volume,nr_RG,abbreviation,gold,system,verdict,step,candidate_miss,candidates,verdict_once,expansion_once,context
5,9465,IV.,IV.,IV.,no_gold_label,"","","",no_gold_label,IV.,peregrinorum inter quos Carolus IV. R. I. reges Francie
8,547,IX.,IX.,IX.,no_gold_label,"","","",no_gold_label,IX.,Hildesem. dioc. quib. Bonifacius IX. Sigismundus R. I. tunc
4,6193,J.,J.,J.,no_gold_label,"","","",no_gold_label,J.,filialis par. eccl. op. J. Misnen. dioc. de indulg.
5,981,K.,K.,K.,no_gold_label,"","","",no_gold_label,K.,capel. b. Marie in K. infra lim. par. eccl.
5,6313,L.,L.,L.,no_gold_label,"","","",no_gold_label,L.,r. eccl. domus op. L. o. fr. min. Catharina
5,6313,L.,L.,L.,no_gold_label,"","","",no_gold_label,L.,rectores et univ. stud. L. in Alamania mittitur eis
5,6338,L.,L.,L.,no_gold_label,"","","",no_gold_label,L.,dioc. par. eccl. in L. p. Bohemos hereticos igni
9,4226,L.,L.,L.,no_gold_label,"","","",no_gold_label,L.,eccl. s. Nicolai in L. Misnen. dioc. de indulg.
5,6313,Liptzen.,Liptzen.,Liptzen.,no_gold_label,"","","",no_gold_label,Liptzen.,Liptzen. Merseburg. dioc. rectores et
5,6853,M.,M.,M.,no_gold_label,"","","",no_gold_label,M.,erecta in Antiqua Civitate M. de indulg. 26 aug.
5,6853,M.,M.,M.,no_gold_label,"","","",no_gold_label,M.,vicarii et beneficiati eccl. M. quib. quond. Nicolaus Ziegenbock
5,6853,M.,M.,M.,no_gold_label,"","","",no_gold_label,M.,Hofemann ep. etc. eccl. M. cuius mensa episc. ut
5,6853,M.,M.,M.,no_gold_label,"","","",no_gold_label,M.,vicarii et beneficiati eccl. M. quib. quond. Nicolaus Ziegenbock
5,6853,M.,M.,M.,no_gold_label,"","","",no_gold_label,M.,vicarii et beneficiati eccl. M. quib. quond. Nicolaus Ziegenbock
5,6853,M.,M.,M.,no_gold_label,"","","",no_gold_label,M.,vicarii et beneficiati eccl. M. quib. quond. Nicolaus Ziegenbock
5,6853,M.,M.,M.,no_gold_label,"","","",no_gold_label,M.,vicarii et beneficiati eccl. M. quib. quond. Nicolaus Ziegenbock
8,4104,M.,M.,M.,no_gold_label,"","","",no_gold_label,M.,s. Georgii martir. castri M. Halberstad. dioc. supplic. Gunthero
4,3100,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,in eccl. op. Gothen. Magunt. dioc. 10 aug. 1423
4,3100,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,par. eccl. in Herbesleben Magunt. dioc. mag. in art.
4,8386,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,in Gebeze Magdeburg. et Magunt. dioc. prorog. ann. 6
4,8386,Magunt.,Magunt.,Maguntinensis,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinensis,Borchardum de Steynbeke presb. Magunt. et Johannem Ritter 5
4,8386,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,eccl. b. Marie Erford. Magunt. dioc. vac. p. o.
4,8386,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,par. eccl. in Gebese Magunt. dioc. vac. p. o.
4,8386,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,par. eccl. in Gebese Magunt. dioc. 8 nov. 1424
4,8386,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,par. eccl. in Gebeze Magunt. dioc. prov. de can.
4,8386,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,par. eccl. in Gebese Magunt. dioc. vac. p. res.
4,8386,Magunt.,Magunt.,Maguntina,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntina,dioc. vicar. in eccl. Magunt. lite sup. vicar. in
4,8386,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,in Gebeze Nuemburg. et Magunt. dioc. ac can. et
5,885,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,eccl. s. Alexandri Embecen. Magunt. dioc. L 342 298
5,1954,Magunt.,Magunt.,Maguntinensis,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinensis,Conradum de Daun aep. Magunt. Theodericum de Moers aep.
5,1954,Magunt.,Magunt.,Maguntinensis,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinensis,Hinna Czeegerucke et Luben Magunt. Halberstad. et Nuemburg. dioc.
5,7372,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,Justi et Clementis Bebracen. Magunt. dioc. ad petitionem Henrici
5,7372,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,Justi et Clementis Bebracen. Magunt. dioc. minus legitime processit
5,7372,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,Justi et Clementis Bebracen. Magunt. dioc. minus legitime processit
8,4669,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,esset in op. Franckforden. Magunt. dioc. necnon al. terris
9,2155,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,Stalberge Heringen et Kelebra Magunt. dioc. et pro colleg.
9,2155,Magunt.,Magunt.,Maguntinensis,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinensis,temporalis loci in Werningerode Magunt. dioc. qui pro divinis
9,2155,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,quas proconsules op. Stolberg Magunt. dioc. d. comiti annis
9,2155,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,par. eccl. op. Stalberge Magunt. dioc. Fiat 7 an.
9,2155,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,extra op. de Stolbergh Magunt. dioc. de Wernigerode Halberstad.
9,2155,Magunt.,Magunt.,Maguntinensis,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinensis,min. in op. Stalerberg Magunt. dioc. I 331 161
9,6104,Magunt.,Magunt.,Maguntinae,no_gold_label,step 1 (rule),"","",no_gold_label,Maguntinae,Martini in op. S. Magunt. dioc. in quibus Henricus
5,6853,Misnen.,Misnen.,Misnensis,no_gold_label,step 1 (rule),"","",no_gold_label,Misnensis,Misnen. vicarii et beneficiati eccl.
4,11967,N.,N.,N.,no_gold_label,"","","",no_gold_label,N.,eccl. s. Martini op. N. capella b. Katherine in
5,7372,N.,N.,N.,no_gold_label,"","","",no_gold_label,N.,consules et cives civit. N. qui ex devotione quandam
5,7372,N.,N.,N.,no_gold_label,"","","",no_gold_label,N.,dec. et capit. eccl. N. cuius eccl. scolastrie ex
5,7372,N.,N.,N.,no_gold_label,"","","",no_gold_label,N.,dec. et capit. eccl. N. cuius eccl. scolastrie ex
5,7372,N.,N.,N.,no_gold_label,"","","",no_gold_label,N.,par. eccl. s. Wentzeslai N. que plus quam 4000
5,7372,N.,N.,N.,no_gold_label,"","","",no_gold_label,N.,consules et cives civit. N. qui ex devotione quandam
5,7372,N.,N.,N.,no_gold_label,"","","",no_gold_label,N.,dec. et capit. eccl. N. cui papa conc. revoc.
8,4669,N.,N.,N.,no_gold_label,"","","",no_gold_label,N.,r. Prep. etc. eccl. N. de statuendo quod in
8,4669,N.,N.,N.,no_gold_label,"","","",no_gold_label,N.,Nuemburg. Prep. etc. eccl. N. de conserv. perp. fiat
8,4669,N.,N.,N.,no_gold_label,"","","",no_gold_label,N.,consules et habitatores civit. N. necnon opidani op. Ciczen.
8,4669,N.,N.,N.,no_gold_label,"","","",no_gold_label,N.,qui in choro eccl. N. missas et horas solent
8,4669,N.,N.,N.,no_gold_label,"","","",no_gold_label,N.,mon. s. Thome martir. N. dioc. conf. sent. laudi
4,2980,Nouwen.,Nouwen.,Nouwen.,no_gold_label,"","","",no_gold_label,Nouwen.,et proconsules etc. op. Nouwen. Brandenburg. dioc. conf. remissionem
5,7372,Nuemburg.,Nuemburg.,Nuemburgensis,no_gold_label,step 1 (rule),"","",no_gold_label,Nuemburgensis,s. Georgii e. m. Nuemburg. L 329 21 vss.
5,7372,Nuemburg.,Nuemburg.,Nuemburgensis,no_gold_label,step 1 (rule),"","",no_gold_label,Nuemburgensis,Nuemburg. Nuemburg. dec. et capit. eccl.
5,7372,Nuemburg.,Nuemburg.,Nuemburgensis,no_gold_label,step 1 (rule),"","",no_gold_label,Nuemburgensis,Nuemburg. Nuemburg. dec. et capit.
8,4669,Nuemburg.,Nuemburg.,Nuemburgensis,no_gold_label,step 1 (rule),"","",no_gold_label,Nuemburgensis,Nuemburg. Prep. etc. eccl. N.
5,7397,O.,O.,O.,no_gold_label,"","","",no_gold_label,O.,domus o. pred. in O. cuius eccl. s. Dominici
5,7397,O.,O.,O.,no_gold_label,"","","",no_gold_label,O.,dec. et capit. eccl. O. quib. olim unio utriusque
5,7397,O.,O.,O.,no_gold_label,"","","",no_gold_label,O.,dec. et capit. eccl. O. quib. olim unio utriusque
5,7397,O.,O.,O.,no_gold_label,"","","",no_gold_label,O.,dec. eccl. s. Johannis O. de m. Juliani de
5,7397,O.,O.,O.,no_gold_label,"","","",no_gold_label,O.,dec. eccl. s. Johannis O. de m. Juliani de
5,7397,O.,O.,O.,no_gold_label,"","","",no_gold_label,O.,dec. eccl. s. Johannis O. de m. Juliani de
5,7397,O.,O.,O.,no_gold_label,"","","",no_gold_label,O.,dec. et capit. eccl. O. quib. olim unio utriusque
5,7397,O.,O.,O.,no_gold_label,"","","",no_gold_label,O.,dec. eccl. s. Johannis O. de m. Juliani de
5,7397,O.,O.,O.,no_gold_label,"","","",no_gold_label,O.,dec. eccl. s. Johannis O. de m. Juliani de
5,7397,O.,O.,O.,no_gold_label,"","","",no_gold_label,O.,dec. et capit. eccl. O. quib. olim unio utriusque
5,7397,O.,O.,O.,no_gold_label,"","","",no_gold_label,O.,dec. et capit. eccl. O. quib. olim unio utriusque
5,7397,O.,O.,O.,no_gold_label,"","","",no_gold_label,O.,succentorie in d. eccl. O. ut in d. eccl.
5,7397,Osnaburg.,Osnaburg.,Osnaburgensis,no_gold_label,step 1 (rule),"","",no_gold_label,Osnaburgensis,Osnaburg. dec. et capit. eccl.
5,7397,Osnaburg.,Osnaburg.,Osnaburgensis,no_gold_label,step 1 (rule),"","",no_gold_label,Osnaburgensis,legati conc. erat dec. Osnaburg. l. b. mai. 1435
9,5330,P.,P.,P.,no_gold_label,"","","",no_gold_label,P.,Pritzwalk Par. eccl. op. P. Havelberg. dioc. supplic. Friderico
9,5330,P.,P.,P.,no_gold_label,"","","",no_gold_label,P.,624 198 vs. Op. P. Havelberg. dioc. in temporali
9,5381,R.,R.,R.,no_gold_label,"","","",no_gold_label,R.,et al. ss. in R. Zwerin. dioc. supplic. Ulrico
5,8363,S.,S.,S.,no_gold_label,"","","",no_gold_label,S.,s. Salvatoris nunc. de S. o. s. Aug. solempniter
5,8363,S.,S.,S.,no_gold_label,"","","",no_gold_label,S.,s. Salvatoris nunc. de S. o. s. Aug. solempniter
5,8486,S.,S.,S.,no_gold_label,"","","",no_gold_label,S.,b. Marie in op. S. ad quam multitudo christianorum
5,8486,S.,S.,S.,no_gold_label,"","","",no_gold_label,S.,s. Nicolai in op. S. de indulg. 26 mai.
9,5679,S.,S.,S.,no_gold_label,"","","",no_gold_label,S.,Strelicze Par. eccl. in S. Havelberg. dioc. supplic. Ulrico
9,5684,S.,S.,S.,no_gold_label,"","","",no_gold_label,S.,Sunnenwald Par. eccl. in S. Misnen. dioc. supplic. barone
9,6104,S.,S.,S.,no_gold_label,"","","",no_gold_label,S.,s. Martini in op. S. Magunt. dioc. in quibus
7,1083,Stendal.,Stendal.,Stendal.,no_gold_label,"","","",no_gold_label,Stendal.,eccl. s. Nicolai op. Stendal. d. dioc. 6 m.
5,8486,Sunden.,Sunden.,Sunden.,no_gold_label,"","","",no_gold_label,Sunden.,Sunden. Zwerin. dioc. eccl. b.
5,8513,T.,T.,T.,no_gold_label,"","","",no_gold_label,T.,Civitas e. m. op. T. noviter erecte de indulg.
5,8895,T.,T.,T.,no_gold_label,"","","",no_gold_label,T.,b. Marie ville dicte T. a Hussitis graviter dampnificata
6,5255,T.,T.,Turonensis,no_gold_label,step 1 (rule),"","",no_gold_label,Turonensis,4 Non est honesta T. 8 mart. 1449 S
8,5423,T.,T.,T.,no_gold_label,"","","",no_gold_label,T.,b. Marie extra op. T. Halberstad. dioc. de iur.
9,5702,T.,T.,Turonensis,no_gold_label,step 1 (rule),"","",no_gold_label,Turonensis,dom. s. Antonii in T. o. s. Aug. Zwerin.
9,5702,T.,T.,Turonensis,no_gold_label,step 1 (rule),"","",no_gold_label,Turonensis,dom. s. Antonii in T. o. s. Aug. Zwerin.
9,5702,T.,T.,Turonensis,no_gold_label,step 1 (rule),"","",no_gold_label,Turonensis,dom. s. Antonii in T. o. s. Aug. Zwerin.
8,5719,U.,U.,U.,no_gold_label,"","","",no_gold_label,U.,Uszleuben Hosp. op. U. Halberstad. dioc. sub vocabulo
5,885,V.,V.,V.,no_gold_label,"","","",no_gold_label,V.,conc. et a Martino V. conf. 26 iun. 1436
5,981,V.,V.,V.,no_gold_label,"","","",no_gold_label,V.,reparatione indigens cui Martinus V. indulg. conc. de uberiori
8,547,V.,V.,V.,no_gold_label,"","","",no_gold_label,V.,R. R. et Martinus V. conc. ut extra d.
8,1132,V.,V.,V.,no_gold_label,"","","",no_gold_label,V.,s. Crucis in op. V. Misnen. dioc. supplic. duce
5,9465,W.,W.,W.,no_gold_label,"","","",no_gold_label,W.,365 475 rss. locus W. sub dominio Frederici II.
5,9465,W.,W.,W.,no_gold_label,"","","",no_gold_label,W.,Wilczenach Havelberg. dioc. locus W. sub dominio Frederici II.
5,9494,W.,W.,W.,no_gold_label,"","","",no_gold_label,W.,s. Nicolai in op. W. rect. et provisoribus supplic.
5,9494,W.,W.,W.,no_gold_label,"","","",no_gold_label,W.,s. Georgii in op. W. de novo edificanda de
8,5760,W.,W.,W.,no_gold_label,"","","",no_gold_label,W.,mon. s. Ciriaci in W. o. s. Ben. Halberstad.
9,6104,W.,W.,W.,no_gold_label,"","","",no_gold_label,W.,Colleg. eccl. in op. W. Halberstad. dioc. ac par.
5,9465,Wilsnacen.,Wilsnacen.,Wilsnacen.,no_gold_label,"","","",no_gold_label,Wilsnacen.,Wilsnacen. Wilczenach Havelberg. dioc. locus
2,2495,Wismer.,Wismer.,Wismer.,no_gold_label,"","","",no_gold_label,Wismer.,eccl. d. o. op. Wismer. Razeburg. dioc. 1 iul.
5,9494,Wysmarien.,Wysmarien.,Wysmarien.,no_gold_label,"","","",no_gold_label,Wysmarien.,Wismar Wysmarien. Razeburg. dioc. par. eccl.
5,1954,XXIII.,XXIII.,XXIII.,no_gold_label,"","","",no_gold_label,XXIII.,donavit incorp. a Johanne XXIII. et Nicolao de Lubich
2,370,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,possit executioni mandare 26 apr. 1396 V 315 189
2,370,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,d. eccl. Magdeburg. 26 apr. 1394 L 1 103
2,913,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,s. Odalrici Brunswic. 22 apr. 1399 L 69 185
2,1462,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,Misnen. dioc. indulg. 30 apr. 1399 L 69 136
2,1682,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,Misnen. dioc. indulg. 12 apr. 1400 L 72 98
2,3604,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,Halberstad. dioc. indulg. 17 apr. 1401 L 88 157
2,6985,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,Marci de Venetiis 13 apr. 1400 L 80 147
2,7272,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,Marie de Portiuncula 9 apr. 1400 L 79 1
2,7645,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,Marci de Venetiis 17 apr. 1401 L 89 59
2,7645,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,Lutter Halberstad. dioc. 8 apr. 1401 L 87 126
4,2980,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,Langentzem Herbip. dioc. 21 apr. 1418 S 112 8
4,2980,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,Clare Bamberg. dioc. 21 apr. 1418 S 112 20
4,2980,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,Kreulssheim Herbip. dioc. 21 apr. 1418 S 110 287
4,2980,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,portam Noveciv. predicte 21 apr. 1418 S 110 285
4,2980,apr.,apr.,aprilis,no_gold_label,step 1 (rule),"","",no_gold_label,aprilis,electione vicarii etc. 30 apr. 1428 S 225 262
4,8386,assig.,assig.,assig.,no_gold_label,"","","",no_gold_label,assig.,Menss scobator palatii ap. assig. pecunia 1 apr. 20
2,913,aug.,aug.,augustus,no_gold_label,step 1 (rule),"","",no_gold_label,augustus,d. opido instituant 8 aug. 1391 L 10 231
2,1462,aug.,aug.,augustus,no_gold_label,step 1 (rule),"","",no_gold_label,augustus,Misnen. dioc. indulg. 28 aug. 1393 L 30 252
2,2411,aug.,aug.,augustus,no_gold_label,step 1 (rule),"","",no_gold_label,augustus,Clare Bamberg. dioc. 28 aug. 1393 L 30 327
2,5209,aug.,aug.,augustus,no_gold_label,step 1 (rule),"","",no_gold_label,augustus,fr. kalend. conf. 1 aug. 1401 R 307 v.
2,5711,aug.,aug.,augustus,no_gold_label,step 1 (rule),"","",no_gold_label,augustus,de Suecia indulg. 25 aug. 1401 L 94 167
5,7397,b.,b.,bulle,no_gold_label,step 1 (rule),"","",no_gold_label,bulle,erat dec. Osnaburg. l. b. mai. 1435 T 4
4,3100,benef.,benef.,beneficium,no_gold_label,step 2 (candidates),yes,beneficialis; beneficium,no_gold_label,benef.,197 v super collatione benef. eccl. Misnen. L 222
9,2155,cap.,cap.,capitulum,no_gold_label,step 2 (candidates),yes,capellanus; capitulum,no_gold_label,cap.,rectori et 27 suo cap. vicariis et choralibus donavit
4,2980,conf.,conf.,confirmatio,no_gold_label,step 2 (candidates),yes,confirmare; confirmatio,no_gold_label,conf.,op. Nouwen. Brandenburg. dioc. conf. remissionem debitorum et exemtionem
2,913,constit.,constit.,constitutio,no_gold_label,step 2 (candidates),yes,constituere; constitutio; constitutus,no_gold_label,constit.,in d. op. publ. constit. Provide attendentes a Bonifatio
5,2286,d.,d.,die,no_gold_label,step 2 (candidates),yes,datum; dictus; dies; dominus,no_gold_label,d.,notabilibus prope muros s. d. 25 sept. 30 heretici
5,3472,d.,d.,"",no_gold_label,"","","",no_gold_label,d.,uberiori indulg. s. p. d. S 397 51 r.
2,370,dec.,dec.,december,no_gold_label,step 2 (candidates),yes,decanatus; decanus; december,no_gold_label,dec.,se vocatum incarceraverunt 21 dec. 1396 V 315 164
2,370,dec.,dec.,december,no_gold_label,step 2 (candidates),yes,decanatus; decanus; december,no_gold_label,dec.,315 189 conserv. 17 dec. 1396 L 45 122
2,878,dec.,dec.,december,no_gold_label,step 2 (candidates),yes,decanatus; decanus; december,no_gold_label,dec.,Brandenburg. dioc. indulg. 5 dec. 1400 L 90 106
2,913,dec.,dec.,december,no_gold_label,step 2 (candidates),yes,decanatus; decanus; december,no_gold_label,dec.,de non evocando 27 dec. 1390 L 12 139
2,913,dec.,dec.,december,no_gold_label,step 2 (candidates),yes,decanatus; decanus; december,no_gold_label,dec.,Marci de Venetiis 12 dec. 1399 L 82 175
2,916,dec.,dec.,december,no_gold_label,step 2 (candidates),yes,decanatus; decanus; december,no_gold_label,dec.,Misnen. dioc. indulg. 29 dec. 1401 L 100 153
2,919,dec.,dec.,december,no_gold_label,step 2 (candidates),yes,decanatus; decanus; december,no_gold_label,dec.,par. eccl. indulg. 17 dec. 1401 L 100 110
2,2229,dec.,dec.,december,no_gold_label,step 2 (candidates),yes,decanatus; decanus; december,no_gold_label,dec.,Misnen. dioc. indulg. 29 dec. 1401 L 100 114
2,2411,dec.,dec.,december,no_gold_label,step 2 (candidates),yes,decanatus; decanus; december,no_gold_label,dec.,in castro Misnen. 12 dec. 1399 L 82 176
2,2411,dec.,dec.,december,no_gold_label,step 2 (candidates),yes,decanatus; decanus; december,no_gold_label,dec.,Friberg d. dioc. 1 dec. 1400 L 90 100
