volume,nr_RG,text
2,2322,"Grevenhayn
Pfarrkirche St. Nikolaus beim Kloster des Zisterzienserordens, Diözese Naumburg: Ablass nach dem Vorbild der Marienkirche in Hamburg, Diözese Bremen. 15. Sept. 1395 L 36 198."
2,2411,"Wilhelm, Markgraf von Meißen
Erlaubnis, alle Nonnenklöster in seinem Herrschaftsbereich sowie in der Kirche des Hofes Retznitz, Klarissenordens, Diözese Bamberg, zu besuchen. 28. Aug. 1393 L 30 327v.
Verleihung des Patronatsrechts über 4 Kanonikate und die größere Pfründe in der Kirche zu Meißen auf der Burg Meißen. 12. Dez. 1399 L 82 176.
Dispens über den Fleischgenuss für die Äbte der Klöster Altzelle und Buch, Zisterzienserordens, Diözese Meißen. 26. Febr. 1400 L 80 88v.
Erlaubnis, bei der Kapelle zum Heiligen Kreuz im Ort Dresden, Diözese Meißen, ein Kollegiatstift mit Dekanat und Kanonikern zu gründen, und Übertragung der Pfarrkirche der seligen Maria des genannten Ortes, die zur Kirche von Meißen gehörte, an das genannte Stift; der Markgraf schenkte der Kirche von Meißen das Patronatsrecht über die Pfarrkirchen in Ebersbach und St. Nikolaus in Freiberg, genannter Diözese. 1. Dez. 1400 L 90 100.
Mandat zur Bestätigung des zwischen ihm und Mechthild, Äbtissin des Klosters Marienthron in Nimbschen, Diözese Merseburg, vorgenommenen Tausches über das Patronatsrecht der Pfarrkirche in Torgau, genannter Diözese, gegen die Pfarrkirche in Novacuria (Neuhof), genannter Diözese. 1. Dez. 1400 L 90 101.
Erlaubnis, einen Beichtvater zu wählen. 31. März 1401 L 91 211.
und Elisabeth, seine Gemahlin: Ablass für diejenigen, die die von ihnen in der Kirche zu Meißen niedergelegten Reliquien besuchen. 22. Nov. 1401 L 100 57v.
Ablass für alle, die den Messen beiwohnen, die an dem vom Markgrafen gestifteten Altar im Chor der Kirche zu Meißen gefeiert werden. 7. Febr. 1403 L 108 205."
2,2477,"Hadmersleben
Kirche St. Peter und Paul des Nonnenklosters, Benediktinerordens, Diözese Halberstadt: Ablass nach dem Vorbild der Kirche San Marco in Venedig. 10. Jan. 1399 L 71 123."
2,2495,"Hamburg
Stadt der Diözese Bremen, die Bürgermeister usw.: über einen Tragaltar für den Turm Nigeo, auch Nigewerk genannt, beim Hafen des Flusses Elbe und nahe dem Ozean (der Nordsee) gelegen. 10. Nov. 1390 L 10 191.
Stadt der Diözese Bremen, die Bürgermeister usw.: über einen Tragaltar in der Burg Ritzebüttel, genannter Diözese. 29. März 1395 R 163v.
Kirche des Dominikanerkonvents: Ablass nach dem Vorbild der Kirche desselben Ordens in der Stadt Wismar, Diözese Ratzeburg. 1. Juli 1401 L 89 142v."
2,3398,"Hesewik
Marienkirche, Diözese Halberstadt: Ablass. 20. März 1403 L 113 151v."
2,3412,"Hildesleve
Klosterkirche, Benediktinerordens, Diözese Halberstadt: Ablass nach dem Vorbild der Kirche San Marco in Venedig. 18. März 1401 L 90 79v."
2,3604,"Idelenstede
Marienkapelle, Diözese Halberstadt: Ablass. 17. Apr. 1401 L 88 157."
2,5209,"Eisleben
Stadt der Diözese Halberstadt, Altar der Heiligen Dreifaltigkeit, der seligen Maria und der Heiligen Drei Könige sowie der seligen Zwölf Apostel und der Zehntausend Märtyrer und der Heiligen Sebastian und Crispin in der Pfarrkirche St. Andreas: Ablass. 21. Dez. 1400 L 90 273.
Bruderschaft der Kalandsbrüder: Bestätigung. 1. Aug. 1401 R 307v."
2,5321,"Lynpuhel
Marienkapelle, Diözese Naumburg: Ablass. 28. Febr. 1402 L 100 202."
2,5329,"Lovenborch
Pfarrkirche der Stadt, Diözese Ratzeburg: Ablass. 20. Febr. 1391 L 17 144."
2,5332,"Lauban
Stadt der Diözese Meißen, Pfarrkirche St. Marien: Ablass. 1. März 1402 L 100 266.
Kirche des Nonnenklosters St. Maria Magdalena, Augustinerordens: Ablass. 31. Juli 1402 L 104 223v."
2,5439,"Madela
Pfarrkirche St. Martin, Diözese Meißen: Ablass. 17. Mai 1401 L 89 127v."
2,5443,"Magnasalme (Großsalze)
Stadt der Diözese Magdeburg, Kirche St. Johannes des Täufers, die der Pfarrkirche in Esterhusin unterstellt ist: Ablass. 28. Dez. 1401 L 100 115."
2,5697,"Muchele
Pfarrkirche St. Michael, Diözese Halberstadt: Ablass. 10. Dez. 1391 L 24 242v."
2,5711,"Netekendorp
Dorf der Diözese Brandenburg, Kapelle der Heiligen Jakobus und Dorothea sowie Birgitta von Schweden: Ablass. 25. Aug. 1401 L 94 167."
2,6133,"Neuzelle
Abt usw. des Klosters, Zisterzienserordens, Diözese Meißen: Mandat, dem Markgrafen von Mähren und dem Herzog von Sagan die Verhandlung über den Vergleich zu übertragen, der zwischen dem genannten Kloster und dem Kloster Leubus, desselben Ordens, Diözese Breslau, über Besitzungen im Grenzgebiet der Markgrafschaft und des Herzogtums geschlossen worden war. 14. Okt. 1401 L 91 95.
Abt usw. des Klosters, Zisterzienserordens, Diözese Meißen: Ablass. 17. Jan. 1402 L 100 260.
Abt usw. des Klosters, Zisterzienserordens, Diözese Meißen: Inkorporation der Pfarrkirchen in Fortinberg, Besecow, Funfechin und Welmenitz, genannter Diözese. 18. Jan. 1402 L 104 91v."
2,6177,"Osterburg
Stadt der Diözese Halberstadt, die von Giselbert Dobberkow, Doktor des Kirchenrechts, gestiftete Kapelle St. Georg: Ablass. 28. Okt. 1393 L 27 178.
Stadt der Diözese Halberstadt, die von Giselbert Dobberkow, Doktor des Kirchenrechts, gestiftete Kapelle St. Georg: Ablass. 7. Mai 1400 L 79 33.
Altar St. Johannes des Täufers in der Kirche St. Nikolaus: Mandat, dass Johannes Schymming, Rektor des genannten Altars, und seine Nachfolger jährlich 2 Mark Silber zum Unterhalt des Klosters in Krevese, Benediktinerordens, Diözese Verden, zahlen; der Altar ist von Heinrich von Soltwedel, sonst Schymming genannt, Propst, aus Gütern des genannten Klosters gestiftet worden. 22. März 1403 L 109 97."
2,6985,"Tempzin
Kapelle des Hauses St. Antonius (Antoniterhaus), nach der Regel des heiligen Augustinus, Diözese Schwerin: Ablass. 19. Jan. 1399 L 71 57.
Kapelle des Hauses St. Antonius (Antoniterhaus), nach der Regel des heiligen Augustinus, Diözese Schwerin: Ablass nach dem Vorbild der Kirche San Marco in Venedig. 13. Apr. 1400 L 80 147."
2,7272,"Treptow
Alte Stadt (antiquum opidum), Diözese Brandenburg, Kapelle Closterberche vor den Mauern: Ablass nach dem Vorbild der Kirche S. Maria von Portiuncula. 9. Apr. 1400 L 79 1."
2,7276,"Tribsees
Kapelle St. Georg, Diözese Schwerin: Ablass nach dem Vorbild der Kirche St. Maria Magdalena in Düsseldorf und der Kirche von Aquileja. 24. Mai 1401 L 94 223."
2,7448,"Welpesholt
Marienkapelle, Diözese Halberstadt: Ablass nach dem Vorbild der Kirche S. Maria in Portiuncula. 7. Juli 1401 L 94 199."
2,7530,"Altzelle
Kloster St. Marien, Zisterzienserordens, Diözese Meißen: Ablass. 3. Febr. 1392 L 25 202v."
2,7567,"Villabuken
Pfarrkirche der seligen Maria, Diözese Ratzeburg: Ablass. 20. Febr. 1391 L 12 212v."
2,7568,"Wilsnack
Pfarrkirche zum Heiligen Leichnam (Corporis Christi), Diözese Havelberg: Ablass. 25. Juli 1393 L 28 97."
2,7601,"Wittenberg
Stadt der Diözese Brandenburg, die Allerheiligenkapelle genannte Kirche: Ablass. 19. Juli 1398 L 52 35."
2,7645,"Zehdenick
Kapelle zum Heiligen Leichnam (Corporis Christi), Diözese Brandenburg: Ablass nach dem Vorbild der Klosterkirche in Königslutter, Diözese Halberstadt. 8. Apr. 1401 L 87 126.
Kapelle zum Heiligen Leichnam (Corporis Christi), Diözese Brandenburg: Ablass nach dem Vorbild der Kirche San Marco in Venedig. 17. Apr. 1401 L 89 59."
2,7829,"Dresden
Stadt der Diözese Meißen: Ablass für die Kirche, die auf einem von Wilhelm, Markgraf von Meißen, geschenkten Grundstück durch den Provinzialprior usw. des Augustiner-Eremitenordens erbaut werden soll. 24. Okt. 1405 L 123 272."
3,171,"Zwickau
Kapelle des Hospitals St. Georg vor den Mauern der Stadt, Diözese Naumburg: Ablass. 17. Sept. 1409 L 136 103v."
3,228,"Altenburg
Marienkirche der Burg, der römischen Kirche unmittelbar unterstellt: Ablass. 14. Febr. 1414 L 185 278v.
Kapelle St. Georg auf der Burg, Diözese Naumburg: Ablass. 22. Okt. 1411 L 158 142v."
3,535,"Cottbus
Pfarrkirche St. Nikolaus, Diözese Meißen: Ablass. 24. Juni 1410 L 147 162v."
3,556,"Döbeln
Pfarrkirche St. Nikolaus, Diözese Meißen: Ablass. 7. Juli 1413 L 173 205v."
3,1008,"Herzberg
Kapelle des Leibes Jesu Christi, Diözese Meißen: Ablass. 12. Jan. 1415 L 185 52v."
3,1629,"Monsboldensberg
Kapelle der seligen Jungfrau Maria, Diözese Brandenburg: Ablass. 17. Okt. 1411 L 153 29v."
3,1969,"Stendal, Kirche St. Nikolaus, Diözese Halberstadt
Ablass. 10. Sept. 1411 L 158 106v."
3,1990,"Tangermünde
Kirche St. Johannes des Täufers und St. Johannes des Evangelisten auf der Burg, Diözese Halberstadt: Konservatorie (Schutzbrief). 29. Mai 1411 L 159 118.
Kirche St. Johannes des Täufers und St. Johannes des Evangelisten auf der Burg, Diözese Halberstadt: Dispens von den Statuten über die Residenzpflicht. 8. Nov. 1414 L 175 171v.
Kirche St. Johannes des Täufers und St. Johannes des Evangelisten auf der Burg, Diözese Halberstadt, die Karl, römischer und böhmischer König, zur Kollegiatkirche hatte erheben lassen, mit der ihr inkorporierten Pfarrkirche St. Stephan in den Vorstädten der genannten Burg und der zu ihr gehörenden Pfarrkirche in Bretzen, Diözese Brandenburg: Exemtion von der ordentlichen Jurisdiktion unter Vorbehalt des Patronatsrechts über die Propstei für den Markgrafen von Brandenburg sowie des Rechts der Einsetzung des Propstes und der Kanoniker und der Visitation für den Dekan der Kirche St. Nikolaus in Stendal, Diözese Halberstadt. 5. Jan. 1415 L 175 45v.
Kirche St. Johannes des Täufers und St. Johannes des Evangelisten auf der Burg, Diözese Halberstadt: Mandat — auf Supplik Sigismunds, römischen und ungarischen Königs — zur Inkorporation der größeren Pfründe der Kirche St. Nikolaus in Stendal, Diözese Halberstadt, ungeachtet der Statuten der genannten Kirche. 5. Jan. 1415 L 175 44v.
Kirche St. Johannes des Täufers und St. Johannes des Evangelisten auf der Burg, Diözese Halberstadt: Ablass. 5. Jan. 1415 L 185 260."
3,2188,"Wittenberg
Allerheiligenkirche, Diözese Brandenburg: Ablass. 17. Okt. (14)11 L 153 30, 12. Jan. 1415 L 185 53."
3,2195,"Wolfenbüttel
Kapelle St. Longinus bei der Burg, Diözese Halberstadt: Ablass. 25. Juli 1414 L 185 105."
4,277,"Altenburg
Kirche St. Georg auf der Burg Altenburg, Diözese Naumburg, zur Kollegiatkirche erhoben: Ablass. 8. Juli 1423 I 112 308v.
Kapitel der Kirche St. Georg, Diözese Naumburg: Konservatorie. 17. Juli 1423 V 358 83r.
Kapitel der Kirche St. Georg, Diözese Naumburg: Reformatio (Neuausfertigung der Supplik). 17. Juli 1423 S 169 264v.
Magistra usw. des Klosters in Aldenburg, Prämonstratenserordens, Diözese Trier: Reformatio betreffend die Pfarrkirche in Biele, Diözese Trier. 24. Febr. 1424 S 174 260r."
4,1168,"Beeskow
Pfarrkirche der seligen Maria der Stadt Beeskow, Diözese Meißen: Ablass. 20. Jan. 1429 S 235 78r, L 286 140r."
4,1253,"Burghartzwalde
Pfarrkirche, Diözese Meißen: Ablass. 15. Dez. 1429 S 249 246v."
4,1307,"Busso de Vicedominis (Vitzthum), Ritter, Gesandter Wilhelms, Landgrafen von Thüringen und Markgrafen von Meißen
Ablass für die Pfarrkirche in Roßla, Diözese Mainz; Kanonikat mit Anwartschaft (Exspektanz) auf eine Pfründe in Naumburg sowie an St. Severi in Erfurt für Heinrich Vitztum, Kleriker der Diözese Mainz, beiderseits von ritterlicher Abkunft; Benefizium s. e. p. für Friedrich Clepe, Priester, Pfarrer (plebanus) in Roßla, Diözese Mainz; Benefizium s. e. p. für Thomas von Zwickau, Kleriker der Diözese Merseburg. 30. Jan. 1418 S 115 170r."
4,1309,"Kaltenborn
Kloster St. Johannes des Evangelisten der Regularkanoniker, Diözese Halberstadt: Ablass. 24. Mai 1421 S 152 187v."
4,1318,"Canewitz
Kapelle der seligen Katharina, Diözese Meißen: Ablass. 24. Mai 1421 L 212 260v."
4,1399,"Katharina, Markgräfin von Meißen
Ablass für den von ihr gestifteten Altar der seligen Maria, der Empfängnis, der Anna, des Apostels Andreas und aller Heiligen in der Kapelle der Burg Colditz, Diözese Meißen. 11. Dez. 1421 S 158 182r."
4,1415,"Keentze
Kapelle der seligen Jungfrau Maria innerhalb der Grenzen der Pfarrkirche in Baard, Diözese Schwerin: Ablass. 31. Mai 1418 L 195 112r."
4,1421,"Kempnic
Pfarrkirche St. Jakob, Diözese Meißen: Ablass. 3. Dez. 1421 L 222 217v."
4,2363,"Döbeln
Pfarrkirche St. Nikolaus, Diözese Meißen: Ablass. 29. Nov. 1424 S 182 54v."
4,2521,"Ebrstorff
Pfarrkirche der seligen Jungfrau Maria, Diözese Meißen: Ablass. 4. Mai 1426 L 263 320r."
4,2962,"Vredeland
Kapelle der seligen Jungfrau Maria auf dem Friedhof der Pfarrkirche der Stadt, Diözese Havelberg: Ablass. 8. Nov. 1419 S 134 43.
Kapelle der seligen Jungfrau Maria auf dem Friedhof der Pfarrkirche der Stadt, Diözese Havelberg: Ablass. 6. Juni (14)20 S 145 25v, 8. Juli 1420 L 208 222v.
Bruderschaft der Priester und Schüler St. Gregor: Ablass. 8. Nov. 1419 S 134 43."
4,2980,"Friedrich, Markgraf von Brandenburg, Kurfürst und Burggraf von Nürnberg
Pontifikalinsignien für den Abt des Klosters Heilsbronn (Fons salutis), Zisterzienserordens, Diözese Eichstätt; Pontifikalinsignien für den Abt des Klosters in Walderbach, Zisterzienserordens, Diözese Regensburg; Erlaubnis, heilige Gegenstände zu weihen, für den Abt des Klosters in Wülzburg, Benediktinerordens, Diözese Eichstätt; vollkommener Ablass für die Äbte und Mönche der obengenannten Klöster. 20. Dez. 1417 S 108 47.
Erlaubnis, den Gottesdienst nach der Ausweisung der Exkommunizierten wiederaufzunehmen, für die Ratsherren usw. der Neustadt Brandenburg; Ablass für die Pfarrkirche St. Katharina und Amalberga der genannten Neustadt; Ablass für den Fronleichnamsaltar in der genannten Pfarrkirche; Ablass für die Kapelle St. Urban und Heilig Geist beim Tor der genannten Neustadt. 21. Apr. 1418 S 110 285.
Ablass für die Pfarrkirche in Schwabach, Diözese Eichstätt; Ablass für das Armenhospital der genannten Stadt; Ablass für die Pfarrkirche St. Ulrich im Dorf Blaufelden, Diözese Würzburg; Ablass für die Pfarrkirche in Crailsheim, Diözese Würzburg. 21. Apr. 1418 S 110 287v.
Ablass für die Pfarrkirche in Langenzenn, Diözese Würzburg. 21. Apr. 1418 S 112 8v.
Bestätigung der Privilegien; Fleischgenuss für Agnes, seine Schwester, Äbtissin usw. des Klosters curia Regnitz (Hof), Klarissenordens, Diözese Bamberg. 21. Apr. 1418 S 112 20.
Beichtbrief (confessionale); Interdikt(sindult); Erlaubnis, dass jeder von ihm gewählte Priester das Sakrament der Eucharistie spenden darf. 27. Mai 1418 S 112 118.
Ablass für das Kloster in Langenzenn, Diözese Würzburg. 29. Mai 1418 S 118 253v.
Erlaubnis, das Nonnenkloster curia Regnitz (Hof), Klarissenordens, Diözese Bamberg, zu betreten, dessen Äbtissin seine Schwester ist; vollkommener Ablass für die Äbtissin Agnes; Erlaubnis der Fastenumwandlung für Elisabeth, seine Gemahlin; (vollkommener Ablass) in der Todesstunde für Adelheid, Äbtissin des Klosters Himmelkron (Corona celi), Zisterzienserordens, Diözese Bamberg. 20. Dez. 1421 S 159 7v.
Reformatio der Erlaubnis zum Betreten des Nonnenklosters curia Regnitz (Hof), Klarissenordens, Diözese Bamberg. 20. Dez. 1421 S 160 61v.
PK n. 112/114.
Errichtung der Kapelle im Dorf Werd (Wöhrd) bei der Stadt Nürnberg, Diözese Bamberg, unter der Pfarrkirche St. Sebald der genannten Stadt gelegen, zur Pfarrkirche. 25. Nov. 1423 S 172 62v.
Erlaubnis, einen Beichtvater zu wählen, für sich und seine Familie (Gefolge); Tragaltar; Interdikt(sindult); (Messe) vor Tagesanbruch; Erlaubnis, die Rektoren der Kirchen seines Patronats zur Residenz anzuhalten; Bestätigung des Kaufs von Lehen in Franken, Bayern und Schwaben von Oswald, Grafen von Truhendingen, mit den Rechten der pres. (Präsentation?); Bestätigung der Privilegien, die von Augustinus, Generalprior des Augustiner-Eremitenordens, dem Konvent in Kulmbach, desselben Ordens, Diözese Bamberg, gewährt wurden. 25. Jan. 1424 S 174 37.
Bezug der Einkünfte in Abwesenheit für 4 Familiare. 25. Juli 1425 S 188 253v.
Übertragung der Streitsache zwischen dem Rektor der Pfarrkirche St. Sebald in Nürnberg, Diözese Bamberg, und der Gemeinde des Dorfes Werd (Wöhrd) an den neuen Bischof von Bamberg. 25. Juli 1425 S 188 253v.
und die Bürgermeister usw. der Stadt Nouwen. ? (Nauen?), Diözese Brandenburg: bestätigt wird der Erlass der Schulden und die Befreiung von allen Abgaben auf zehn Jahre, die durch den genannten Friedrich gewährt worden war. 23. Juni 1426 L 263 88.
und Elisabeth, seine Gemahlin: vollkommener Ablass. 17. März 1428 L 280 258.
Bestätigung des Indults, das durch H., Kardinal von S. Eusebio, Legaten, dem Haus des Franziskanerordens in Brandenburg über die Wahl des Vikars usw. gewährt wurde. 30. Apr. 1428 S 225 262v.
und Johannes, sein Sohn: Tragaltar, (Messe) vor Tagesanbruch und Interdikt(sindult) für Johannes; Milchspeisen(dispens) für Johannes und die Familie; Beichtbrief für Johannes und seine Gemahlin; Erlaubnis, sogleich nach dem Abzug der Exkommunizierten (Gottesdienst) zu feiern, für die Altstadt Brandenburg. 30. Dez. 1429 S 258 217.
Dispens über Fasten und Abstinenz; Milchspeisen; Erlaubnis, einen Beichtvater zu wählen. 16. März 1430 S 254 211."
