Abkürzung,Auflösung,Übersetzung,Anmerkungen,Wortstamm,Deklination,RG1,RG2,RG3,RG4,RG5,RG6,RG7,RG8,RG9,Bemerkungen_1,Bemerkungen_2,volumes
aud.,auditor causarum sacri palatii apostolici,"Auditor, Rotarichter",,auditor -is; causarum; sacri; palatii; apostolici,kons.; -; -; -; -,auditor,aud.; auditor,audit.; auditor,aud.; auditor,aud.; audit.; auditor,aud.; audit.,aud.,aud.; auditor,aud.; auditor,,,2|3|4|5|6|7|8|9|10
audit.,auditor causarum sacri palatii apostolici,"Auditor, Rotarichter",siehe aud.,,,,,,,,,,,,,,5
b.,beatus,heilig,,beat -i,o/a (Adj.),b.,b.,b.,b.,b.,b.,b.,b.,b.,,"b. für ""bulla"" nur in RG 4, in allen Bd. (inkl 4) sonst ausgeschrieben ",1|2|3|4|5|6|7|8|9|10
b.,bulla,Bulle,"v. a. in ""l. b.""; siehe dortigen Eintrag",bull -e,a,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
bac.,baccalaureus,Bakkalaureus (akademischer Grad),,baccalari/bacallari/baccalauri -i,o,bac.; bacal.; bacall.; baccal.; baccalarius; bacallarius,bac.,bac.,bac.,bac.; baccalaurius,bac.,bac.,bac.,bac.,,,1|2|3|4|5|6|7|8|9|10
Bapt.,Baptista,(Johannes) der Täufer,siehe bapt.,,,,,,,,,,,,,,10
bapt.,baptismalis,,"in Bd. 6, 8",baptismal -is,i (Adj.),,,,,,,,,,,,1|2|3|4|5|6|7|8|9
bapt.,baptista,(Johannes) der Täufer,,baptist -e,a (m.),Bapt.,bapt.,bapt.,bapt.,bapt.; Baptista,bapt.; Baptista,bapt.,bapt.,bapt.; Baptista,,,1|2|3|4|5|6|7|8|9
ben.,beneficium,Pfründe,siehe benef.,,,,,,,,,,,,,,1
bened.,benedicere,,,"benedic, benedix, benedict",kons.-Konj.,bened.; benedictio,bened.; benedicere; benedictio,bened.; benedict.,bened.; benedicere; benedictio,benedicere; benedictio,bened.,,benedicere; benedictio,benedicere; benedictio,,,1|2|3|4|6
bened.,benedictio,,,benediction -is,kons.,,,,,,,,,,,,1|2|3|4|6
benef.,beneficialis,,,beneficial -is,i (Adj.),,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
benef.,beneficium,Pfründe,"benef. für ""beneficialis"" nur in Bd. 5; benef. in Bd. 1 steht für ""beneficiatus"", nicht für ""beneficium""",benefici -i,o (n.),ben.; beneficium,benef.; beneficium,benef.; benefium,benef.; beneficium,benef.; beneficium,benef.,benef. c. c.,benef.; beneficium,benef.; beneficium,,,1|2|3|4|5|6|7|8|9|10
benefic.,beneficiatus,bepfründet,,beneficiat -i,o/a (Adj.),benef.; beneficiatus,benefic.; beneficiatus,benefic.; beneficiatum,benefic.; beneficiatus,benefic.; beneficiatus,benefic.,benefic.,benefic.; beneficiatus,benefic.; beneficiatus,,,2|3|4|5|6|7|8|9|10
c.,coniugatus,verheiratet,"für coniugatus siehe ansonsten ""coniug.""",coniugat -i,o/a (Adj.),,,,,,,,,,,(nur bei def. nat.:),1|2|3|4|5|6|7|8|9|10
c.,cum,mit;,,,,c.; cum; cura,c.; cum; cura,c.; cum; cura,c.; cum; cura,c.; cum; cura,c.; cum; cura,c.; cum; cura,c.; cum; cura,c.; cum; cura,,,1|2|3|4|5|6|7|8|9|10
c.,cura,Seelsorge,"v. a. in ""c. c."" und ""s. c.""",cur -e,a,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
c. c.,cf.: def. nat.,,,,,,,,,,,,,,,,1|4|5|6|7|8|9|10
c. c.,cum cura,mit Seelsorge,,,,c. c.; cum cura,,,c. c.; c. cura,c. c.; c. cura,c. c.,c. c.,c. c.,c. c.; c. cura,,,1|4|5|6|7|8|9|10
cam.,camera,(Apostolische) Kammer,,camer -e,a,cam.; camera,cam.; camera,cam.; camera,cam.; camera,cam.; camera,cam.; camera,cam.; camera,cam.; camera,cam.; camera,,,1|2|3|4|5|6|7|8|9|10
can.,canonicatus,"Kanonikat, Stiftsherren-/Chorherrenstelle;","laut Abk-Verz. Bd. 5 steht ""canon."" nur für ""canonicatus""",canoncicat -us,u,can.; canonicatus; canonicus,can.; canonicus,can.; canon.; canonicatus; canonicus,can.; canonicatus; canonicus,can.; canon.; canonicus; canonissa,can.; canonicus; canonissa,can.; canonicus; canonissa,can.; canonicatus; canonicus,can.; canonicatus; canonicus; canonissa,,,1|2|3|4|5|6|7|8|9|10
can.,canonicus,"Kanoniker, Stiftsherr, Chorherr;",,canonic -i,o,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
can.,canonissa,"Kanonissin, Stiftsdame",,canoniss -e,a,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
canc.,cancellaria,,,cancellari -e,a,,,,,canc.,cancelleria,,cancelleria,cancelleria; cancellerius,,"in allen Bd. kommen auch die Formen ""cancellaria"" und ""cancellarius"" vor",5
canc.,cancellarius,,,cancellari -i,o,,,,,,,,,,,,5
canon.,canonicatus,,,,,,,,,,,,,,,,5
canon.,canonicus,,siehe can.,,,,,,,,,,,,,,5
canon.,canonissa,,,,,,,,,,,,,,,,5
capell.,capella,Kapelle,,capell -e,a,,,capell.,,capell.,,,,,,"in allen Bd. kommt auch ""capella"" vor",3|5
capell.,capellania,Kaplanei,,capellani -e,a,,,capell.,,capell.,,,,,,,3|5
capell.,capellanus,Kaplan,,capellan -i,o,,,capell.,,capell.,,,,,,,3|5
capellan.,capellania,Kaplanei,,capellani -e,a,capellan.,capellan.,,,,,,,,,,1|2
capellan.,capellanus,Kaplan,,capellan -i,o,capellan.,,,,,,,,,,,1|2
capit.,capitularis,zum Kapitel gehörig,,,,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
capit.,capitulum,Kapitel;,,capitul -i,o (n.),capit.,cap.; capitularis,cap.; capitularis,cap.; capitularis,cap.; capitul.; capitularis,cap.; capitularis,cap.; capitularis,cap.; capitularis,cap.; capitularis,,"in allen Bd. kommt auch ""capitulum"" vor; möglicherweise auch in Bd. 1 ""cap."" für capitulum benutzt, aber zuviele Einträge zum nachprüfen",2|3|4|5|6|7|8|9|10
cass.,cassare,für ungültig erklären;,,"cass, cassav, cassat",a-Konj.,cass.,cass.; cassare; cassatio,cass.; cassat.,cass.; cassat.; cassare; cassatio,cass.; cassare; cassatio,cass.; cassatio,cass.; cassatio,cass.; cassatio,cass.; cassatio,,,1|2|3|4|5|6|7|8|9|10
cass.,cassatio,Ungültigkeitserklärung,,cassation -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
cassat.,cassatio,Ungültigkeitserklärung,siehe cass.,,,,,,,,,,,,,,2|4|5
cler.,clericus,Kleriker;,,cleric -i,o,cler.,cler.,cler.,cler.,cler.,cler.,cler.,cler.,,,"in allen Bd. ""cler."", ""clerus"" und ""clericus""",1|2|3|4|5|6|7|8|9|10
cler.,clerus,"Klerus, Geistlichkeit",,cler -i,o,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
coll.,collatio,Übertragung (durch),,collation -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
coll.,collatus,übertragen (von Pfründen);,,collat -i,o,coll.; collatio,coll.; collatio; collatus,collat.; collatus,coll.; collat.; collatio; collatus,coll.; collatio; collatus,coll.; collatio,coll.; collatus,coll.; collatus,coll.; collatio; collatus,,,1|2|3|4|5|6|7|8|9|10
collat.,collatio,Übertragung (durch),,,,,,,,,,,,,,,3
collat.,collatus,übertragen (von Pfründen);,siehe coll.,,,,,,,,,,,,,,3
commiss.,commissio,Auftrag,,commission -is,kons.,comm.,,commiss.,comissio,commiss.; comissio,comm.; commiss.,commiss.,commiss.,commiss.,,"in allen Bd. auch ""commissio""",3|5|6|7|8|9|10
committ.,alicui committere,,,,,,,,,,,,,,,,5|7|8|9|10
committ.,committere,beauftragen,,"committ, commis, commiss",kons.-Konj.,,committere,committere,committere; comittere,committ.; committere,committere,committ.; committere,committ.; committere,committ.; committere,,,5|7|8|9|10
commun.,communis,gewöhnlich;,,commun -is,i (Adj.),com.; comm.,comm.; communitas,commun.,communitas; comunitas,commun.; communitas,commun.; communitas; comunitas,commun.; communitas,commun.; communitas,commun.; communitas,,"in allen Bd. auch ""communis""",1|2|3|5|6|7|8|9|10
commun.,communitas,Gemeinde,,communitat -is,kons.,,,,,,,,,,,,1|2|3|5|6|7|8|9|10
conc.,concedere,"gewähren, verleihen;",,"conced, concess, concess",,conc.; concedere; concessio,conc.; conced.; concedere; concessio,conc.; conced.; concedere,conc.; concess.; concedere; concessio,conc.; concedere; concessio,conc.,conc.; concedere,conc.; concedere; concessio,conc.; concedere; concessio,,,1|2|3|4|5|6|7|8|9|10
conc.,concessio,Verleihung,,concession -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
conf.,confirmare,bestätigen;,,"confirm, confirmav, confirmat",a-Konj.,confirm.; confirmare; confirmatio,conf.; confirm.; confirmare; confirmatio,conf.; confirm.; confirmatio,conf.; confirmare; confirmatio,conf.; confirmare; confirmatio,conf.; confirm.,conf.,conf.; confirmatio,conf.; confirmare; confirmatio,,,1|2|3|4|5|6|7|8|9|10
conf.,confirmatio,Bestätigung,,confirmation -is,kons. (f.),,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
confic.,conficere,,,"confic, confec, confect",,,,,,,,,,,,,6|7|8|9|10
confic.,conficiendus,auszufertigen (von Urkunden),,conficiend -i,Gerundivum,,,,,,confic.,confic.,confic.,confic.,,"in allen Bd. auch ""conficere""",6|7|8|9|10
confess.,confessio,Beichte,,confession -is,kons.,confessor,confess.; confessio; confessor,confess.; confessor,confess.; confessionale; confessio; confessor,confess.; confessionalia; confessio; confessor,confess.; confessio; confessor,confess.; confessio,confess.; confessio; confessor,confess.; confessionale; confessio; confessor,,,2|3|4|5|6|7|8|9|10
confess.,confessionale,Beichtbrief,,confessional -is,kons.,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
confess.,confessor,Beichtvater,,confessor -is,kons.,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
confirm.,confirmare,bestätigen;,siehe conf.,,,,,,,,,,,,,,1
confirm.,confirmatio,Bestätigung,,,,,,,,,,,,,,,1
consang.,consanguineus,"(Bluts-)verwandt, -Verwandter",,consanguine -i,o/a (Adj.),,,,,,,,,,,,1|3|4|5|6|7|8|9|10
consang.,consanguinitas,(Bluts-)verwandtschaft,,consanguinitat -is,kons.,cons.; consangu.; consanguineus,consanguineus; consanguinitas,consang.; consanguineus,consang.; consanguineus; consanguinitas,consang.; consanguineus; consanguinitas,consang.; consanguineus,consang.,consang.; consanguineus,consang.; consanguineus; consanguinitas,,,1|3|4|5|6|7|8|9|10
consecr.,consecrare,weihen;,,"consecr, consecrav, consecrat",a-Konj.,consecr.; consecrare; consecratio,consecr.; consecrare; consecratio,consecr.; consecrare,consecr.; consecrare; consecratio,consecr.; consecrare; consecratio,consecr.; consecrare,consecr.,consecr.; consecrare,consecr.; consecrare; consecratio,,,1|2|3|4|5|6|7|8|9|10
consecr.,consecratio,Weihe,,consecration -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
conserv.,conservare,schützen;,,"conserv, conservav, conservat",a-Konj.,conserv.; conservat.,conserv.; conservare; conservator,conserv.; conservare; conservator,conserv.; conservare; conservator,conserv.; conservare; conservator; conservatoria,conserv.; conservare; conservator,conserv.,conserv.; conservare; conservator,conserv.; conservare; conservator; conservatoria,,,1|2|3|4|5|6|7|8|9|10
conserv.,conservator,mit dem Schutz Beauftragter;,,conservator -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
conserv.,conservatoria,päpstlicher Schutzbrief,,conservatori -e,a,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
constit.,constituere,"sich befinden; bestimmen, verordnen, festsetzen;",,"constitu, constitu, constitut",kons.-Konj.,,const.; constit.; constituere; constitutio; constitutus ,const.; constit.; constituere; constitutio; constitutus,const.; constit.; constitutio; constitutus,constit.; constituere; constitutio; constitutus,constit.; constitutio,constit.;constitutio; constitutus,constit.; constituere; constitutio; constitutus,constit.; constituere; constitutio; constitutus,,,2|3|4|5|6|7|8|9|10
constit.,constitutio,"Verordnung, Erlaß",,constitution -is,kons.,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
constit.,constitutus,,,constitut -i,o,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
cur.,Romana curia,"Hof, päpstlicher Hof",,Roman -e; curi -e,o/a (Adj.); a,,cur.,cur.,,cur.,cur.,cur.,cur.,cur.,nur bei curia ohne Zusatz,,2|3|5|6|7|8|9|10
d.,datum,,,dat -i,o (n.),,,,,,,,,,,(nur Bd. 6 laut Abk-Verz. sowie in Verbindung mit d. d./s. e. d./ s. d.),1|2|3|4|5|6|7|8|9|10
d.,dictus,genannt;,,dict -i,o/a (Adj.),d.; dictus,d.; dictus,d.; dict.; dictus,d.; dictus,d.; dictus,d.,d.; dictus,d.; dictus,d.; dictus,,"in allen Bd. auch ""dies""; zu ""d."" als ""datum"" siehe ""dat.""",1|2|3|4|5|6|7|8|9|10
d.,dies,Tag,,die -i,e,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
d.,dominus,Herr;,(nur Bd. 1 laut Abk-Verz.),domin -i,o,d.,,,,,,,,,,"in allen Bd. auch ""dominus"" und ""domus""",1|2|3|4|5|6|7|8|9|10
d. d.,de dato,,,,,,de dat.; de dato,d. d.,de data; de dato,de data,,d. d.; de data,de data; dato,de dat.; de dato,,,3|7|8
d. d.,de data,,,,,,de dat.; de dato,d. d.,de data; de dato,de data,,d. d.; de data,de data; dato,de dat.; de dato,,,3|7|8
dat.,data,(Urkunden) ausgestellt;,,dat -e,o/a (Adj.),dat.; data,dat.; datum,d.; data; datum,dat.; data; datum,dat.; data; datum,d.; dat.; data; datum,dat.; data,dat.; data; datum,dat.; data; datum,,"möglicherweise ""d."" auch in anderen Bd. als ""datum/a"" verwendet, aber zuviel zum überprüfen; meist in Verb. ""s.e.d./s.d./d.d.""",1|2|4|5|6|7|8|9|10
dat.,datum,"Datum, Ausstellung",,dat -i,o (n.),,,,,,,,,,,,1|2|4|5|6|7|8|9|10
dd.,dicti,die genannten,(Plural),dict -orum,o,dicti,dicti,dicti,dd.; dicti,dicti,dd.,dd.; dicti,dd.; dicti,dd.; dicti,,,4|6|7|8|9|10
decl.,declarare,erklären; (verbindlich) auslegen;,,"declar, declarav, declarat",a-Konj.,,declarare; declaratio,declarere,declarare; declaratio,decl.; declarare; declaratio,declarare; declaratio,declarare; declaratio,decl.; declarare,decl.; declarare; declaratio,,,5|8|9|10
decl.,declaratio,Erklärung,,declaration -is,kons.,,,,,,,,,,,,5|8|9|10
deput.,deputare,beauftragen,,"deput, deputav, deputat",a-Konj.,,deput.,deput.,deput.,deput.,deput.,deput.,deput.,deput.,,"in allen Bd. auch ""deputatus""",2|3|4|5|6|7|8|9|10
deput.,deputatus,,,deputat -i,o,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
derog.,derogare,"beschränken,(teilweise) aufheben, außer Kraft setzen (von Rechten);",,"derog, derogav, derogat",a-Konj.,,derogare,derogare; derogatio,derogare; derogatio,derog.; derogare,derog.; derogare; derogatio,derog.; derogare; derogatio,derog.,derog.,"folgende Zeile ohne Auflösung entfernt (Übersetzung: Beschränkung, (teilw.) Aufhebung, Außerkraftsetzung)",,5|6|7|8|9|10
derog.,derogatio,,,derogation -is,kons.,,,,,,,,,,,,5|6|7|8|9|10
destin.,destinare,,,"destin, destinav, destinat",a-Konj.,,destin.; destinare,destin.,destin.; destinare,destinare,destin.; destinare,destinare,destinare,,,"in allen Bd. auch ""destinatus""",2|3|4|6
destin.,destinatus,,,destinat -i,o/a (Adj.),,,,,,,,,,,,2|3|4|6
devol.,devolutio,Devolution (Übergang des Besetzungsrechts auf die nächsthöhere Instanz),,devolution -is,kons.,,devolutio,devolvere,devol.,devol.; devolvere,,devolutio,devol.; devolvere,devol.; devolvere,,,4|5|8|9|10
devol.,devolvere,,,"devolv, devol, devolut",,,,,,,,,,,,,4|5|8|9|10
diff.,diffinitivus,,,diffinitiv -i,o,diffinitivus,,,definitivus,diff.; definitivus,diffinitivus,diff.; diffinitivus,diff.,definitivus; diffinitivus,,,5|7|8
dim.,dimissio,Verzicht,,dimission -is,kons.,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
dim.,dimittere,"verzichten, aufgeben (von Pfründen);",,"dimitt, dimis, dimiss",kons.-Konj.,dimittere,dim.; dimittere,dim.; dimissio,dim.; dimittere,dim.; dimittere,dim.,dim.,dim.; dimissio; dimittere,dim.; dimissio; dimittere,,,2|3|4|5|6|7|8|9|10
disp.,dispensare,"(jemanden) dispensieren, befreien; außer Kraft setzen (von kanonischen Regeln);",,"dispens, dispensav, dispensat",a-Konj.,disp.; dispens.; dispensare; dispensatio,disp.; dispens.; dispensatio,disp.,disp.; dispensare,disp.; dispensare; dispensatio,disp.,disp.; dispensare,disp.; dispensare,disp.; dispensare; dispensatio,,,1|2|3|4|5|6|7|8|9|10
disp.,dispensatio,"Dispens, Befreiung, Außerkraftsetzung",,dispensation -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
div.,diversus,,,divers -i,o,div.; divinus,div.; divinus,div.; divin.,divers.; divinus,div.; divinus,div.; divinus,div.; divinus,div.; divinus,divinus,,"in allen Bd. auch ""diversus"" und ""divisio""",1|2|3|4|5|6|7|8
div.,divinus,,,divin -i,o,,,,,,,,,,,,1|2|3|4|5|6|7|8
div.,divisio,,,division -is,kons.,,,,,,,,,,,,1|2|3|4|5|6|7|8
dom.,dominus,Herr;,,domin -i,o,,dom.,dom.,dom.,dom.,dom.,dom.,dom.,dom.,,"in allen Bd. auch ""dominus"" und ""domus""",2|3|4|5|6|7|8|9|10
dom.,domus,"Haus, Wohnung",,dom -us,u (f.),,,,,,,,,,,,2|3|4|5|6|7|8|9|10
domic.,domicella,,,domicell -e,a,domicella; domicellus,domic.,domic.; domicella; domicellus,domic.; domicella; domicellus,domic.; domicella; domicellus,domic.; domicella,domic.,domicella; domicellus,domicella; domicellus,,,2|3|4|5|6|7
domic.,domicellus,,,domicell -o,o,,,,,,,,,,,,2|3|4|5|6|7
domin.,dominus,Herr;,,domin -i,o,,,domin.,,,,,,,,"in allen Bd. auch ""dominus"" und ""domus""",3
duc.,ducatus,Herzogtum;Dukaten;,,ducat -us,u,,duc.,duc.,duc.,duc.,duc.,duc.,duc.,duc.,,"in allen Bd. auch ""ducatus""",2|4|5|6|7|8|9|10
ducat.,ducatus,Dukaten;Herzogtum,,ducat -us,u,,ducat.,ducat.,,,,,,,,"in allen Bd. auch ""ducatus""",2|3
el.,electio,Wahl,"v. a. in Bd. 2, 4",election -is,kons.,,el.,,el.,,,,,,,,1|2|3|4|5|6|7|8|9|10
el.,electus,"gewählt, (zum Bischof) Gewählter, Elekt",,elect -i,o,el.; electus,el.; electus,el.; electus,el.; electus,el.; electus,el.,el.,el.,el.; electus,,,1|2|3|4|5|6|7|8|9|10
el.,eligere,wählen,v. a. in Bd. 4,"elig, eleg, elect",,,,,el.,,,,,,,"in allen Bd. auch ""eligere""",1|2|3|4|5|6|7|8|9|10
etc.,et capitulum,,,,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
etc.,et cetera,und so weiter,,,,et cap.; et conv.; et capitulum,et capit.; et conv.; et conventus; et ceteri ,et capit.; et conv.,et capit.; et conv.; et capitulum; et conventus,et capit.; et capitul.; et conv.; et ceteri,et capit.; et conv.,et capit.; et conv.,et capit.; et conv.; et ceteri,et capit.; et conv.; et capitulum; et conventus,,"""etc."" kommt in allen Bd. vor, ob aber wirklich als Abk. für usw. benutzt, zweifelhaft, eher für ""et conv."" oder ""et capit.""; ""et ceteri"" kommt vor in Bd. 2,5,8, bedeutet aber ""und gewisse/einige (Kapläne, Ritter o.ä.)""",1|2|3|4|5|6|7|8|9|10
etc.,et conventus,,,,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
